VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,STATE,VEH_NO,NUMOCCS,MAKE,MODEL,BODY_TYP,REG_STAT,OWNER,ROLLOVER,J_KNIFE,TRAV_SP,HAZ_INV,HAZ_PLAC,HAZ_CNO,HAZ_REL,TOW_VEH,V_CONFIG,CARGO_BT,HIT_RUN,ROLINLOC,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,UNDERIDE,DEFORMED,IMPACTS,TOWED,FIRE_EXP,VEH_CF1,VEH_CF2,VEH_MAN,AVOID,M_HARM,DEATHS,SEQ1,SEQ2,SEQ3,SEQ4,SEQ5,SEQ6,VIN_LNGT,BUS_USE,GVWR,UNITTYPE,MCARR_I1,ST_CASE,HAZ_ID,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,MCARR_I2,FLDCD_TR,MCARR_ID,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,DR_PRES,DR_DRINK,L_STATE,L_TYPE,L_STATUS,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,VIOLCHG1,VIOLCHG2,VIOLCHG3,SPEEDREL,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,LAST_MO,FIRST_MO,DR_CF1,DR_CF2,DR_CF3,DR_CF4,DR_WGT,DR_HGT,D_VISION1,D_VISION2,D_VISION3,LAST_YR,FIRST_YR,DR_ZIP,MONTH,DAY,HOUR,MINUTE,HARM_EV,MAN_COLL,VE_FORMS
1FUJBBCG83LK,1,F,U,J,B,B,C,G,8,3,L,K,5,2,0,82,881,66,17,6,0,0,999,1,0,0,0,1,6,1,0,0,0,0,6,7,0,4,2,9,0,0,0,99,8,14,0,99,99,99,99,99,99,17,0,3,3,57,50124,0,82881,2003,ST2,CON,DS,1203280,D,571203280,0,0,,,8,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,4,11,6,0,14,1,1
1FTDF18W5VLA,1,F,T,D,F,1,8,W,5,V,L,A,5,2,0,12,481,31,5,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,7,7,0,4,2,9,0,0,0,99,8,8,0,99,99,99,99,99,99,17,0,0,3,0,50196,0,12481,1997,F15,COF,PK,000000000,G,00000000000,1200,1390,,,1,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,6,5,10,31,8,0,1
1G2JB14HXR75,1,G,2,J,B,1,4,H,X,R,7,5,5,3,0,22,16,2,5,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,7,7,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,50222,0,22016,1994,SLE,***,CP,000000000,*,00000000000,1013,0,,2484,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,6,18,18,35,12,5,2
3D7KS28L59G5,3,D,7,K,S,2,8,L,5,9,G,5,5,2,0,7,482,31,5,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,7,7,0,6,2,9,0,0,0,99,8,14,0,99,99,99,99,99,99,17,0,0,3,0,50228,0,7482,2009,SQ2,RPC,CW,000000000,D,00000000000,1405,1605,,,2,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,6,20,17,38,14,8,1
1MEPM36X3PK6,1,M,E,P,M,3,6,X,3,P,K,6,5,2,0,14,15,4,5,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,5,5,0,4,2,9,0,0,0,99,8,14,0,99,99,99,99,99,99,17,0,0,3,0,50283,0,14015,1993,TGS,***,4D,000000000,*,00000000000,999,0,,2600,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,7,23,2,50,14,99,1
5N1AN08U45C6,5,N,1,A,N,0,8,U,4,5,C,6,5,3,0,35,402,14,5,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,6,6,0,4,2,9,0,0,0,99,8,14,0,99,99,99,99,99,99,17,0,0,3,0,50283,0,35402,2005,XTR,***,UT,000000000,*,00000000000,1063,0,,5200,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,7,23,2,50,14,99,1
999999999999,9,9,9,9,9,9,9,9,9,9,9,9,5,2,0,99,999,99,99,6,0,0,999,1,0,0,0,9,99,99,0,0,9,9,99,99,0,9,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,9,9,3,99,50310,0,99999,9999,999,999,99,999999999,9,99999999999,9999,9999,9999,9999,9,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,8,10,2,10,32,0,1
1B7KE2688KS0,1,B,7,K,E,2,6,8,8,K,S,0,5,2,0,7,481,31,5,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,99,99,0,9,2,9,0,99,99,99,8,14,0,99,99,99,99,99,99,17,0,0,3,0,50478,0,7481,1989,D20,D20,PK,000000000,D,00000000000,1310,0,,,2,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,11,23,9,12,8,0,1
1FUYDSEB1YPA,1,F,U,Y,D,S,E,B,1,Y,P,A,5,1,0,82,881,66,5,6,0,0,999,1,0,0,0,1,6,1,0,0,0,0,3,3,0,4,2,9,0,0,0,99,8,14,0,99,99,99,99,99,99,17,0,3,3,57,50505,0,82881,2000,FLD,CON,DS,1578793,D,571578793,0,0,,,8,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,12,16,0,58,14,7,1
1FTHX25F5VEC,1,F,T,H,X,2,5,F,5,V,E,C,5,2,0,12,481,31,5,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,3,3,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,50524,0,12481,1997,F25,COF,PS,000000000,D,00000000000,1390,1550,,,2,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,8,25,13,33,14,99,1
1L69HJ116292,1,L,6,9,H,J,1,1,6,2,9,2,5,2,0,20,2,9,99,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,99,99,0,9,2,9,0,0,0,99,8,14,0,99,99,99,99,99,99,12,0,0,3,0,50532,0,20002,1975,IMP,***,4D,000000000,*,00000000000,1215,1250,,4218,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,11,23,19,57,30,0,1
1LNLM82W6RY6,1,L,N,L,M,8,2,W,6,R,Y,6,5,3,0,13,5,4,99,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,99,99,0,9,2,9,0,0,0,99,8,14,0,99,99,99,99,99,99,17,0,0,3,0,50532,0,13005,1994,STE,***,4D,000000000,*,00000000000,1174,0,,4057,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,11,23,19,57,30,0,1
2MEBM74F8KX7,2,M,E,B,M,7,4,F,8,K,X,7,5,4,0,14,6,4,99,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,99,99,0,9,2,9,0,0,0,99,8,14,0,99,99,99,99,99,99,17,0,0,3,0,50532,0,14006,1989,GMG,***,4D,000000000,*,00000000000,1143,0,,3763,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,11,23,19,57,30,0,1
1XP7DB9X21D5,1,X,P,7,D,B,9,X,2,1,D,5,6,2,0,87,881,66,92,6,0,0,999,1,0,0,0,2,7,1,0,0,0,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,3,2,6,60085,0,87881,2001,387,CON,DS,31822,D,0631822,0,0,,,8,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,1,16,20,50,14,1,1
1XKTD69X21J8,1,X,K,T,D,6,9,X,2,1,J,8,6,2,0,85,881,66,92,6,0,0,999,1,0,0,0,2,7,1,0,0,0,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,3,2,6,60087,0,85881,2001,T20,CON,DS,339087,D,06339087,1900,2600,,,8,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,1,25,23,5,14,1,1
