VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,STATE,VEH_NO,OCUPANTS,MAKE,MODEL,BODY_TYP,REG_STAT,OWNER,ROLLOVER,J_KNIFE,TRAV_SP,HAZ_INV,HAZ_PLAC,HAZ_CNO,HAZ_REL,TOW_VEH,V_CONFIG,CARGO_BT,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,UNDERIDE,DEFORMED,IMPACTS,TOWAWAY,FIRE_EXP,VEH_CF1,VEH_CF2,VEH_MAN,AVOID,M_HARM,DEATHS,SEQ1,SEQ2,SEQ3,SEQ4,SEQ5,SEQ6,VIN_LNGT,BUS_USE,GVWR,UNITTYPE,MCARR_I1,ST_CASE,HAZ_ID,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,MCARR_I2,FLDCD_TR,MCARR_ID,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,DR_PRES,DR_DRINK,L_STATE,L_TYPE,L_STATUS,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,VIOLCHG1,VIOLCHG2,VIOLCHG3,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,LAST_MO,FIRST_MO,DR_CF1,DR_CF2,DR_CF3,DR_CF4,DR_WGT,DR_HGT,LAST_YR,FIRST_YR,DR_ZIP,MONTH,HARM_EV,MAN_COLL,HIT_RUN,VE_FORMS
1GDJR34K1KJ5,1,G,D,J,R,3,4,K,1,K,J,5,6,3,0,23,481,31,92,6,0,0,99,1,0,0,0,0,0,0,0,0,9,9,0,2,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,0,62004,0,23481,1989,R35,R35,CB,000000000,G,00000000000,1355,1595,,,3,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,9,12,2,0,2
26456,2,6,4,5,6,,,,,,,,6,4,0,98,850,73,96,6,0,0,99,1,0,0,0,0,0,0,0,0,8,8,0,2,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,5,0,0,2,0,62004,0,98850,1975,999,999,99,000000000,9,00000000000,9999,9999,9999,9999,9,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,9,12,2,0,2
2FUYDSYB0MV5,2,F,U,Y,D,S,Y,B,0,M,V,5,6,2,1,82,881,66,6,6,0,0,99,1,0,0,0,1,6,1,0,0,6,6,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,3,3,57,62014,0,82881,1991,FLD,CON,DS,1117046,D,571117046,0,0,,,8,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,9,14,1,0,1
KNADC1239165,K,N,A,D,C,1,2,3,9,1,6,5,6,4,0,63,32,4,6,6,0,0,99,1,0,0,0,0,0,0,0,0,3,3,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,62037,0,63032,2001,RIO,***,4D,000000000,*,00000000000,949,0,,2242,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,9,12,1,0,3
1YVGD31B9L52,1,Y,V,G,D,3,1,B,9,L,5,2,6,3,0,41,44,2,6,6,0,0,99,1,0,0,0,0,0,0,0,0,12,12,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,62058,0,41044,1990,MX6,***,CP,000000000,*,00000000000,990,0,,0,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,9,12,7,1,2
1B3ED46T9RF2,1,B,3,E,D,4,6,T,9,R,F,2,6,4,0,7,41,4,6,6,0,0,99,1,0,0,0,0,0,0,0,0,10,10,0,2,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,0,62093,0,7041,1994,INT,***,4D,000000000,*,00000000000,1130,0,,3181,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,9,12,4,0,3
1HGCG5641YA0,1,H,G,C,G,5,6,4,1,Y,A,0,6,2,0,37,32,4,6,6,0,0,99,1,0,0,0,0,0,0,0,0,7,7,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,0,62100,0,37032,2000,ULX,***,4D,000000000,*,00000000000,1069,0,,3053,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,9,8,0,0,1
1FTDF15N8HPA,1,F,T,D,F,1,5,N,8,H,P,A,6,2,0,12,481,31,6,6,0,0,99,1,0,0,0,0,0,0,0,0,6,12,0,2,3,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,0,62133,0,12481,1987,F15,COF,PK,000000000,G,00000000000,1170,1330,,,1,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,10,12,1,0,1
1B7HC16Y7XS2,1,B,7,H,C,1,6,Y,7,X,S,2,6,3,0,7,482,31,6,6,0,0,99,1,0,0,0,0,0,0,0,0,6,6,0,2,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,0,62133,0,7482,1999,150,RPC,PK,000000000,G,00000000000,1187,1347,,,2,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,10,12,1,0,1
1FMRU15L4YLA,1,F,M,R,U,1,5,L,4,Y,L,A,6,2,0,12,422,15,6,6,0,0,99,1,0,0,0,0,0,0,0,0,12,1,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,0,62143,0,12422,2000,EPT,***,UT,000000000,*,00000000000,1191,0,,4886,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,7,8,0,0,1
