ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10367,0,0,0,0,0,0,0,0,0,13
10368,0,13,0,0,0,0,21,0,0,0
10369,0,0,0,0,0,0,0,0,0,0
10370,0,22,0,0,0,0,0,0,0,0
10371,0,0,0,0,0,0,0,0,0,0
10372,14,10,6,0,0,16,0,27,18,6
10373,23,23,23,23,23,23,23,23,23,23
10374,28,15,13,14,15,25,28,16,14,12
10375,0,25,0,0,0,0,0,0,0,6
10376,0,0,0,0,0,0,0,0,0,0
10377,0,0,0,0,0,0,9,0,0,0
10378,0,0,0,0,0,0,0,0,0,0
10379,0,0,0,0,0,0,0,0,0,0
10380,0,0,0,0,0,0,0,0,0,0
10381,0,0,0,0,0,0,0,0,0,0
10382,0,11,22,29,4,16,19,0,14,0
10383,0,0,0,14,0,0,0,0,0,0
10384,0,0,0,0,0,0,0,0,0,0
10385,0,0,0,0,10,0,5,0,0,0
10386,0,0,0,0,0,0,0,0,0,0
10387,20,20,0,0,17,0,0,0,0,0
10388,25,25,25,25,25,25,25,25,25,25
10389,20,20,20,20,20,20,20,20,20,20
10390,4,4,4,4,4,4,4,4,4,4
10391,0,0,0,0,0,13,0,0,0,0
10392,0,9,9,0,0,0,23,22,18,0
10393,0,0,0,0,0,0,0,0,0,0
10394,0,0,6,0,0,0,0,0,0,8
10395,0,0,0,0,0,0,0,0,0,0
10396,0,0,0,0,0,0,0,0,0,0
10397,17,17,17,17,17,17,17,17,17,17
10398,30,30,30,30,30,30,30,30,30,30
10399,0,0,0,0,0,0,0,0,0,0
10400,13,13,13,13,13,13,13,13,13,13
10401,0,0,0,0,0,0,0,0,0,0
10402,0,0,0,0,0,0,0,0,0,0
10403,0,0,0,5,0,0,0,0,0,0
10404,0,0,0,0,0,0,0,0,0,0
10405,21,21,21,21,21,21,21,21,21,21
10406,0,10,7,16,17,8,18,20,23,8
10407,6,6,6,6,6,6,6,6,6,6
10408,25,8,13,7,28,10,17,9,11,14
10409,0,0,0,5,0,0,0,0,0,0
10410,0,0,0,0,0,0,0,0,0,0
10411,0,0,0,0,0,0,0,0,0,0
10412,0,0,0,0,0,0,0,0,0,0
10413,0,0,0,0,0,0,0,0,0,0
10414,0,0,0,0,0,0,0,0,0,21
10415,6,6,6,6,6,6,6,6,6,6
10416,0,0,0,0,0,0,0,0,0,0
10417,10,7,7,14,10,16,15,2,18,28
10418,0,0,0,0,0,0,0,0,0,0
10419,0,0,0,0,28,0,3,0,0,0
10420,0,0,0,0,0,2,0,0,0,0
10421,0,0,0,0,0,0,0,0,0,0
10422,0,0,0,0,0,0,0,13,0,0
10423,0,0,0,0,0,0,0,0,0,0
10424,0,0,0,0,0,0,0,0,0,0
10425,0,0,0,0,0,0,0,0,0,0
10426,0,0,0,0,0,0,0,0,0,0
10427,0,0,0,0,0,0,0,6,0,0
10428,0,0,0,0,0,0,0,0,0,0
10429,0,0,0,0,0,0,0,0,0,0
10430,11,11,11,11,11,11,11,11,11,11
10431,0,0,0,0,0,0,0,0,0,0
10432,0,0,0,0,0,0,0,0,0,0
10433,5,9,16,0,0,8,0,21,9,3
10434,0,0,0,0,0,0,0,0,14,0
10435,26,26,26,26,26,26,26,26,26,26
10436,0,0,0,0,0,0,0,0,0,0
10437,0,0,0,0,0,0,0,0,0,0
10438,6,6,6,6,6,6,6,6,6,6
10439,14,14,14,14,14,14,14,14,14,14
10440,0,0,0,0,0,0,0,0,0,0
10441,22,22,22,22,22,22,22,22,22,22
10442,0,0,0,0,0,0,0,0,0,0
10443,29,17,20,29,42,20,7,24,13,24
10444,0,0,0,0,0,0,0,0,0,0
10445,0,0,0,0,0,0,0,0,0,0
10446,14,14,14,14,14,14,14,14,14,14
10447,20,0,9,3,13,6,8,14,21,5
10448,0,0,0,0,0,0,0,0,0,0
10449,0,0,0,0,0,0,19,0,0,0
10450,0,0,0,0,0,0,0,0,0,0
10451,0,6,0,0,0,0,0,0,0,0
10452,0,0,0,16,0,0,0,14,0,0
10453,5,5,5,5,5,5,5,5,5,5
10454,0,0,0,0,0,0,0,0,0,0
10455,0,0,0,0,0,0,0,0,0,0
10456,0,0,0,0,0,0,0,0,0,0
10457,0,0,0,0,0,0,0,0,0,0
10458,0,0,0,0,0,0,0,0,0,0
10459,17,17,17,17,17,17,17,17,17,17
10460,0,0,0,0,0,0,0,0,0,0
10461,26,26,26,26,26,26,26,26,26,26
10462,0,0,0,0,0,0,0,2,0,0
10463,24,24,24,24,24,24,24,24,24,24
10464,0,0,0,0,0,0,0,0,0,0
10465,18,18,18,18,18,18,18,18,18,18
10466,0,0,0,0,0,0,0,0,0,0
10467,0,0,0,0,0,0,0,0,0,0
10468,0,0,0,0,0,0,0,0,0,0
10469,27,12,16,26,6,11,20,27,19,19
10470,0,0,0,0,0,0,0,0,0,0
10471,0,0,0,0,0,0,0,0,0,0
10472,18,18,18,18,18,18,18,18,18,18
10473,0,0,26,0,9,15,18,18,0,0
10474,19,19,19,19,19,19,19,19,19,19
10475,0,0,0,0,8,0,0,0,0,0
10476,21,6,9,0,3,8,13,0,21,15
10477,0,0,0,0,0,9,0,0,0,0
10478,0,11,23,16,29,9,18,10,0,7
10479,0,0,0,0,0,0,0,0,0,0
10480,0,0,0,0,0,0,0,0,0,0
10481,0,0,0,0,0,0,0,0,0,0
10482,0,0,0,0,0,0,0,0,0,0
10483,0,0,0,0,0,0,0,0,0,0
10484,1,1,1,1,1,1,1,1,1,1
10485,0,0,0,0,10,0,0,0,0,0
10486,0,14,0,0,0,0,0,0,0,0
10487,0,0,0,0,0,0,0,0,0,0
10488,0,18,13,11,8,7,9,19,9,17
10489,0,0,0,0,0,0,0,0,0,0
10490,0,0,0,0,0,0,0,0,0,0
10491,0,0,0,23,9,0,0,0,0,11
10492,0,0,0,0,0,0,0,0,0,0
10493,0,0,0,0,0,0,0,0,0,0
10494,0,0,0,0,0,0,0,0,0,0
10495,0,0,10,0,0,0,0,0,12,0
10496,13,13,13,13,13,13,13,13,13,13
10497,0,0,0,0,0,0,0,0,0,0
10498,21,21,21,21,21,21,21,21,21,21
10499,7,7,7,7,7,7,7,7,7,7
10500,0,0,0,0,0,0,0,0,0,0
10501,0,0,0,16,0,16,0,0,0,36
10502,8,8,8,8,8,8,8,8,8,8
10503,4,0,21,0,0,17,0,0,0,0
10504,0,0,0,0,0,0,0,0,0,0
10505,0,0,0,0,0,0,0,0,0,0
10506,13,0,14,0,11,26,19,8,5,0
10507,0,0,0,0,0,0,0,13,0,0
10508,0,0,0,0,0,0,0,0,0,0
10509,0,0,0,0,0,0,0,0,0,0
10510,0,27,12,9,0,11,7,20,16,21
10511,19,19,19,19,19,19,19,19,19,19
10512,8,8,8,8,8,8,8,8,8,8
10513,0,0,0,0,0,0,0,0,0,0
10514,0,0,0,0,0,0,0,0,0,0
10515,0,0,0,0,0,0,0,0,0,0
10516,0,0,0,0,0,0,0,0,0,0
10517,0,0,0,0,0,0,0,11,0,0
10518,0,0,0,0,0,0,0,0,0,0
10519,0,0,0,0,0,0,0,0,0,11
10520,11,11,11,11,11,11,11,11,11,11
10521,13,15,26,26,0,19,10,8,19,28
10522,0,0,0,0,0,0,0,0,0,0
10523,27,0,0,0,0,6,0,0,0,7
10524,0,0,0,0,0,0,0,0,0,0
10525,15,15,15,15,15,15,15,15,15,15
10526,0,0,0,0,0,0,0,0,0,0
10527,0,0,0,0,0,0,0,0,0,0
10528,0,0,0,0,0,0,0,0,0,0
10529,0,0,0,0,0,0,0,0,0,0
10530,11,11,11,11,11,11,11,11,11,11
