YEAR,ST_CASE,veh_no,per_no,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
2004,10259,1,1,0,11,0,0,15,0,0,0,6,13
2004,10259,2,1,0,0,0,0,0,0,0,0,0,0
2004,10260,1,1,0,0,0,0,0,0,0,0,0,0
2004,10261,1,1,0,0,0,0,0,0,0,0,0,0
2004,10262,1,1,0,0,0,0,0,0,0,0,0,0
2004,10262,2,1,0,0,0,0,0,0,0,0,0,0
2004,10263,1,1,0,3,0,0,21,15,0,0,0,0
2004,10264,1,1,6,0,0,0,0,0,0,0,12,11
2004,10264,2,1,0,0,9,0,0,0,0,0,0,0
2004,10265,0,1,26,22,0,25,21,20,23,12,15,16
2004,10265,1,1,0,0,0,0,0,0,0,14,0,0
2004,10266,1,1,0,0,13,0,0,0,0,26,0,0
2004,10266,2,1,0,0,0,0,0,0,0,0,0,0
2004,10267,0,1,0,0,0,0,37,0,0,0,0,0
2004,10267,1,1,0,0,0,0,0,0,0,0,4,0
2004,10268,1,1,0,0,0,0,0,0,0,0,0,0
2004,10269,1,1,4,7,13,23,14,21,15,19,13,20
2004,10270,1,1,24,24,24,24,24,24,24,24,24,24
2004,10271,1,1,0,0,20,0,0,0,0,0,20,13
2004,10271,2,1,0,0,0,0,0,0,0,0,0,0
2004,10272,1,1,0,0,0,0,0,0,0,0,0,0
2004,10272,2,1,0,0,0,0,0,0,0,0,0,0
2004,10273,1,1,0,16,0,0,0,7,0,16,0,0
2004,10273,2,1,0,0,0,0,0,0,0,0,0,0
2004,10274,1,1,11,11,11,11,11,11,11,11,11,11
2004,10274,2,1,0,0,0,0,0,0,0,0,0,0
2004,10274,3,1,0,0,0,0,0,0,0,0,0,0
2004,10274,4,1,0,0,0,0,0,0,0,0,0,0
2004,10275,1,1,36,17,0,0,0,6,14,19,0,0
2004,10276,1,1,0,21,0,0,0,0,19,0,0,0
2004,10276,2,1,0,0,0,0,0,0,0,0,0,0
2004,10277,1,1,15,17,17,0,18,7,15,0,0,24
2004,10278,1,1,0,11,0,0,0,0,0,0,0,0
2004,10279,1,1,9,0,0,0,10,0,0,0,0,18
2004,10280,1,1,0,0,0,0,24,0,0,0,0,0
2004,10280,2,1,0,0,0,0,0,0,0,0,0,0
2004,10281,0,1,0,0,0,0,0,0,0,0,35,0
2004,10281,1,1,16,16,16,16,16,16,16,16,16,16
2004,10282,1,1,0,0,0,0,0,0,0,0,0,0
2004,10283,1,1,0,0,0,0,0,0,0,0,0,0
2004,10283,2,1,0,0,0,0,0,0,0,0,0,0
2004,10284,1,1,14,0,0,0,22,25,0,0,7,0
2004,10284,2,1,0,0,0,0,0,0,0,0,0,0
2004,10285,1,1,12,17,25,30,12,12,9,30,15,31
2004,10286,1,1,0,0,0,0,0,0,0,0,0,0
2004,10287,1,1,0,0,0,0,0,0,0,0,0,0
2004,10288,1,1,0,0,0,0,0,0,0,0,0,0
2004,10289,1,1,0,0,0,0,0,0,0,0,0,0
2004,10290,1,1,6,0,18,18,0,0,11,21,16,14
2004,10290,2,1,0,0,0,0,0,0,0,0,0,0
2004,10291,1,1,0,0,0,0,0,0,0,0,0,0
2004,10291,2,1,0,0,0,0,0,0,0,0,0,0
2004,10291,3,1,0,0,0,0,0,0,0,0,0,0
2004,10292,1,1,16,26,38,22,19,17,19,11,41,12
2004,10293,1,1,15,10,26,18,6,11,18,7,11,0
