ST_CASE,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROUTE,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,TYP_INT,WEATHER1,WEATHER2,WEATHER,CF1,CF2,CF3,FATALS
481789,2,349,0,15,7,2016,6,14,30,2,US-287,,31.98285,-96.1174,1,1,0,1,23,0,0,1
481790,3,39,0,18,7,2016,2,12,53,8,FM 523,,29.18903889,-95.3877,1,2,0,2,0,0,0,2
481791,1,117,0,18,7,2016,2,1,3,4,CR-TIERRA BLANCA RD,,34.82431111,-102.459,1,1,0,1,0,0,0,1
481792,1,147,0,18,7,2016,2,15,28,8,FM 64,,33.43421111,-95.8964,1,1,0,1,0,0,0,1
481793,6,61,940,19,7,2016,3,12,14,7,SR-550/FRONTAGE RD,FM 1847,26.013075,-97.4816,2,1,0,1,0,0,0,1
481794,1,141,2190,21,7,2016,5,13,2,7,SL 375/AMERICAS AVE,,31.68881667,-106.296,1,1,0,1,0,0,0,1
481795,3,167,3220,17,7,2016,1,19,6,8,FM 2004,,29.321525,-95.0607,1,1,0,1,0,0,0,1
481796,1,355,5850,23,4,2016,7,22,5,3,SR-44/ J AVE,,27.79963611,-97.6822,1,1,0,1,0,0,0,1
481797,3,485,7490,2,5,2016,2,22,46,7,US-82/KELL BLVD,TAFT BLVD,33.889125,-98.5188,2,1,0,1,0,0,0,1
481798,3,257,0,5,7,2016,3,2,19,3,SR-243,,32.57504167,-96.1956,1,2,0,2,0,0,0,1
481799,5,141,0,21,6,2016,3,2,6,4,CR-FLAGER ST,,31.82896389,-106.199,1,1,0,1,0,0,0,1
481800,6,355,1550,4,7,2016,2,22,56,1,I-37,,27.80518611,-97.4857,1,1,0,1,0,0,0,1
481801,1,55,0,10,7,2016,1,5,20,4,CR-191 LONG HOLLOW RD,,30.05954167,-97.6395,1,1,0,1,0,0,0,1
481802,2,175,0,12,7,2016,3,11,44,2,US-59,OLD US-59,28.7029,-97.2044,3,1,0,1,0,0,0,1
481804,2,401,0,14,7,2016,5,21,48,3,SR-315,,31.943025,-94.6721,1,1,0,1,0,0,0,1
481805,2,39,0,15,7,2016,6,19,33,8,FM523,,29.07300556,-95.3604,1,1,0,1,0,0,0,1
481807,1,201,0,15,7,2016,6,22,45,3,SR-6,,29.84620278,-95.6458,1,1,0,1,0,0,0,1
481808,1,367,0,15,7,2016,6,1,40,4,CR-OLD AGNES RD,,32.86655278,-97.7808,1,1,0,1,0,0,0,1
481809,9,303,0,16,7,2016,7,13,43,8,FM179,CR-6520 EVANS ST,33.60310278,-102.009,3,1,0,1,0,0,0,2
481810,1,375,0,17,7,2016,1,21,47,7,I-40,,35.19113889,-102.071,1,1,0,1,0,0,0,1
481811,2,423,0,17,7,2016,1,3,45,1,I-20,,32.44135278,-95.0619,1,1,0,1,19,0,0,1
481812,5,25,0,18,7,2016,2,22,39,3,SR-202,,28.38536944,-97.5719,1,1,0,1,1,3,0,1
481813,1,167,2570,18,7,2016,2,7,32,6,N 1/2 AVE,,29.28619444,-94.8229,1,1,0,1,0,0,0,1
481814,1,201,0,18,7,2016,2,4,30,3,SR-249/TOMBALL PKWY,,29.92393056,-95.4992,1,1,0,1,0,0,0,1
481815,1,203,0,18,7,2016,2,22,24,7,I-20,,32.45493056,-94.694,1,1,0,1,0,0,0,1
481816,4,289,0,20,7,2016,4,15,28,8,FM 1146,,31.26906944,-96.2595,1,1,0,1,0,0,0,2
481817,1,439,260,20,7,2016,4,2,23,3,SR-360,,32.69471389,-97.0629,1,1,0,1,0,0,0,1
481818,4,113,1730,21,7,2016,5,15,40,8,SL 12/GREAT TRINITY FOREST WAY,,32.71298333,-96.7025,1,1,0,1,0,0,0,2
481819,1,201,3280,21,7,2016,5,20,42,6,COOK RD,,29.69997778,-95.5961,1,10,0,10,0,0,0,1
481820,7,113,1730,22,7,2016,6,21,56,6,BONNIEVIEW RD,HIGHLAND HILLS DR,32.67071389,-96.7616,2,1,0,1,0,0,0,1
481821,2,167,6860,24,7,2016,1,2,12,3,SR-146,,29.48606111,-94.9878,1,1,0,1,0,0,0,1
481822,4,201,0,24,7,2016,1,17,55,4,CR-BARBERS HILL RD,CR-HANEY RD,29.84232222,-95.0028,3,10,0,10,0,0,0,2
481823,2,375,150,24,7,2016,1,2,46,1,I-40,,35.19270278,-101.726,1,1,0,1,0,0,0,1
481824,2,439,2450,24,7,2016,1,4,37,1,I-30 WEST FWY,,32.72370556,-97.516,1,1,0,1,19,0,0,1
481825,1,439,6060,24,7,2016,1,20,50,8,BU-287 P SAGINAW BLVD,FRANKLIN AVE,32.85687222,-97.3616,3,1,0,1,0,0,0,1
481826,1,453,330,24,7,2016,1,2,25,8,SL 1 MOPAC ST,,30.25295556,-97.7364,1,1,0,1,0,0,0,1
481827,4,113,1730,25,7,2016,2,2,50,8,SL 354 HARRY HINES BLVD,SL 12 NORTHWEST HWY,32.85866944,-96.881,2,1,0,1,0,0,0,1
481828,1,183,4080,25,7,2016,2,20,57,8,SL 281,,32.49834167,-94.7888,1,1,0,1,0,0,0,1
481829,2,251,1370,26,7,2016,3,8,28,3,SR-174 MAIN ST,,32.38709444,-97.3909,1,1,0,1,0,0,0,1
481830,7,479,3899,27,5,2016,6,2,17,8,BU-59Z SAUNDERS ST,SAN FRANCISCO AVE,27.53064722,-99.4999,2,1,0,1,0,0,0,1
481831,3,215,50,6,7,2016,4,14,26,1,I-2 / US-83,6TH ST,26.18976389,-98.1122,1,1,0,1,0,0,0,1
481832,4,113,1730,9,7,2016,7,0,36,2,US-175 SM WRIGHT HWY,,32.76294722,-96.7727,1,1,0,1,0,0,0,1
481833,2,347,0,15,7,2016,6,22,45,8,FM 95,PINE ST,31.47201667,-94.3407,1,1,0,1,0,0,0,1
481834,5,371,0,18,7,2016,2,9,25,3,SR-18,FM 1450,31.24980278,-102.891,2,1,0,1,0,0,0,2
481835,1,187,0,22,7,2016,6,22,5,8,FM 1044,,29.60355833,-98.1145,1,1,0,1,20,0,0,1
481836,4,423,0,27,7,2016,4,13,55,1,I-20,,32.46736389,-95.34100000000001,1,1,0,1,0,0,0,2
481837,1,397,5910,26,5,2016,5,14,3,1,I-30,,32.90155278,-96.4573,1,10,0,10,0,0,0,1
481838,1,439,260,1,7,2016,6,21,57,8,FM 157 COOPER ST,,32.70017222,-97.1223,1,1,0,1,0,0,0,1
481839,1,149,0,3,7,2016,1,18,54,4,CR-MAKINSON RD,CR-OLD LOCKHART RD,29.90173611,-97.0549,3,1,0,1,0,0,0,1
481840,1,453,330,3,7,2016,1,22,29,6,BURNET RD,,30.35890556,-97.7301,1,1,0,1,0,0,0,1
481841,2,53,0,8,7,2016,6,10,55,2,US-281,FM1855,30.64126389,-98.2602,3,1,0,1,0,0,0,1
481842,7,201,0,8,7,2016,6,23,20,3,SR-249 MOUNT HOUSTON RD,,29.89793333,-95.4318,1,1,0,1,0,0,0,1
481843,7,303,4140,8,7,2016,6,23,8,6,AVE P,38TH ST,33.55968889,-101.853,2,10,0,10,0,0,0,1
481844,2,391,0,14,7,2016,5,18,25,8,FM136,CR-CHURCHILL RD,28.22495556,-97.3042,2,1,0,1,0,0,0,1
481845,1,215,0,16,7,2016,7,13,30,4,CR-MILE 10 N RD,,26.20040833,-97.9364,1,1,0,1,0,0,0,1
481846,5,21,0,21,7,2016,5,14,0,3,SR-21,CR-PINE VALLEY CT,30.16760833,-97.1985,3,1,0,1,0,0,0,1
481847,1,303,0,21,7,2016,5,21,29,4,CR-6520 EVANS ST,,33.60310833,-102.01799999999999,1,1,0,1,0,0,0,2
481848,1,141,2190,23,7,2016,7,20,38,6,DIANA DR,,31.87377222,-106.42299999999999,1,1,0,1,0,0,0,1
481849,3,201,0,23,7,2016,7,0,2,4,CR-KUYKENDAHL RD,,30.01607778,-95.4703,1,1,0,1,0,0,0,1
