COUNTY,MONTH,DAY,HOUR,MINUTE,PERSONS,ROAD_FNC,ROUTE,REL_JUNC,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,WEATHER,C_M_ZONE,CF1,CF2,CF3,FATALS,DAY_WEEK,ST_CASE,CITY,YEAR,TWAY_ID,TWAY_ID2,latitude,longitud
113,1,13,21,47,2,12,7,10,4,4,55,1,1,1,1,3,3,0,1,0,0,0,0,1,6,480055,3420,2006,SR-114,SR-161,32.89481111,-96.97260556
147,1,13,12,14,3,4,3,1,1,2,60,1,2,2,1,0,0,0,8,0,0,0,0,1,6,480056,0,2006,SR-78,99999999999999999999,33.376075,-96.36975833
291,1,13,7,34,2,2,2,1,2,2,65,1,1,1,1,0,0,0,1,0,0,0,0,1,6,480057,1380,2006,US-59,99999999999999999999,30.32093333,-95.10192222
347,1,13,12,2,3,4,8,1,1,2,55,2,3,2,1,0,0,0,1,0,0,0,0,1,6,480058,0,2006,FM225,99999999999999999999,31.59501944,-94.87570556
423,1,13,19,15,2,16,5,1,5,4,40,1,1,2,1,0,0,2,1,0,0,0,0,1,6,480059,7070,2006,MLKING,99999999999999999999,32.36989444,-95.30938889
439,1,13,20,29,4,12,3,1,2,2,60,1,1,1,1,0,0,0,1,0,0,0,0,1,6,480060,2255,2006,SR-121,99999999999999999999,32.87103889,-97.10047778
497,1,13,23,20,2,4,8,1,1,2,60,2,2,2,1,0,0,0,1,0,0,0,0,1,6,480061,0,2006,FM2123,99999999999999999999,33.13925556,-97.76340833
37,1,14,15,0,1,6,4,1,1,2,35,1,1,2,1,0,0,0,1,0,0,0,0,1,7,480062,0,2006,1101,99999999999999999999,33.38450833,-94.39004722
39,1,14,1,5,1,16,5,1,1,2,35,1,1,2,1,0,0,0,1,0,0,0,0,1,7,480063,5249,2006,FITE,99999999999999999999,29.55242222,-95.30223889
201,1,14,8,0,1,16,5,1,2,2,35,1,1,2,1,0,0,0,1,0,0,0,0,1,7,480064,3280,2006,ELGIN,99999999999999999999,29.72874167,-95.35341944
437,1,14,1,3,1,4,2,1,2,2,65,2,1,2,1,0,0,0,1,0,0,0,0,1,7,480065,0,2006,US-87,99999999999999999999,34.38685556,-101.7588306
473,1,14,16,45,2,6,5,1,1,2,50,1,2,2,1,0,0,0,1,0,0,0,0,1,7,480066,5515,2006,OLDHOUSTON,99999999999999999999,30.07128611,-95.99036389
477,1,14,22,10,3,3,8,1,1,2,50,2,3,2,1,0,0,0,1,0,0,0,0,1,7,480067,0,2006,FM50,99999999999999999999,30.31781111,-96.34679444
29,1,15,8,18,2,12,7,1,4,9,60,9,1,2,1,0,0,0,1,0,0,0,0,1,1,480068,6090,2006,LP371,99999999999999999999,29.38579167,-98.55325
29,1,15,11,2,1,16,5,1,3,2,35,1,1,2,1,0,0,0,1,0,0,0,0,1,1,480069,6090,2006,CAMPBULLIS,99999999999999999999,29.62141944,-98.61213889
39,1,15,14,2,3,3,3,2,1,2,45,1,1,2,1,0,0,0,1,1,0,0,0,1,1,480070,0,2006,SR-35,PECANESTATES,29.15862222,-95.47433611
97,1,15,0,6,1,11,1,13,6,1,65,1,1,1,1,0,0,0,1,0,20,0,0,1,1,480071,2550,2006,I-35,99999999999999999999,33.64399167,-97.15533889
113,1,15,2,35,1,16,5,1,2,2,35,2,1,1,1,0,0,0,1,0,0,0,0,1,1,480072,1730,2006,SOUTHWESTERN,99999999999999999999,32.85733333,-96.76618333
201,1,15,16,35,2,6,4,1,1,4,45,1,1,2,1,0,0,0,1,0,0,0,0,1,1,480073,0,2006,VETERANSMEMORIAL,99999999999999999999,29.91479722,-95.44229444
351,1,15,9,25,1,4,8,1,1,2,65,2,1,2,1,0,0,0,1,0,0,0,0,1,1,480074,0,2006,FM363,99999999999999999999,30.68438056,-93.81436111
347,1,15,15,15,8,3,3,1,1,4,60,2,1,2,1,0,0,0,1,0,0,0,0,6,1,480075,0,2006,SR-21,99999999999999999999,31.56513889,-94.48921389
439,1,15,20,17,2,13,2,2,2,2,60,1,1,2,1,0,0,0,1,0,0,0,0,2,1,480076,0,2006,US-377,FM1187,32.62188056,-97.526425
147,1,16,10,55,1,5,8,1,1,2,55,2,1,2,1,0,0,0,1,0,0,0,0,1,2,480077,0,2006,FM2554,99999999999999999999,33.80855278,-96.13031389
29,1,17,16,0,6,14,8,2,1,2,50,1,1,2,1,0,0,0,1,0,0,0,0,1,3,480078,1512,2006,FM1516,SLUMBER,29.49788056,-98.30995833
113,1,17,17,45,4,12,3,1,3,4,60,1,1,2,1,0,0,0,1,1,0,0,0,1,3,480079,3420,2006,SR-183,99999999999999999999,32.833625,-96.89603889
121,1,17,19,48,3,16,5,1,1,4,35,2,1,1,1,0,0,0,1,0,0,0,0,1,3,480080,3960,2006,CORPORATE,99999999999999999999,33.02048889,-97.01737778
201,1,17,18,45,3,12,3,8,5,6,55,1,1,1,1,0,0,0,1,0,0,0,0,1,3,480081,0,2006,SR-249,99999999999999999999,29.89798333,-95.43
365,1,17,6,47,2,3,2,1,1,2,65,1,1,2,1,0,0,0,1,0,0,0,0,1,3,480082,0,2006,US-79,99999999999999999999,32.14654444,-94.51673889
423,1,17,15,42,1,4,8,1,1,2,60,1,1,2,1,0,0,0,1,0,0,0,0,1,3,480083,0,2006,FM2493,99999999999999999999,32.27102222,-95.33928611
435,1,17,5,20,1,1,1,1,2,2,65,1,1,2,1,0,0,0,1,0,0,0,0,1,3,480084,0,2006,I-10,99999999999999999999,30.57298889,-100.5904194
439,1,17,23,11,3,12,3,1,3,3,65,1,1,2,1,0,0,0,1,0,0,0,0,1,3,480085,2990,2006,SR-121,99999999999999999999,32.78553056,-97.26576389
139,1,18,14,44,2,6,5,6,1,2,30,1,1,2,1,60,3,0,1,0,0,0,0,1,4,480086,2360,2006,7TH,99999999999999999999,32.53298333,-96.66516111
371,1,18,14,30,3,4,8,1,1,2,75,1,1,2,1,0,0,0,1,0,0,0,0,1,4,480087,0,2006,FM1053,99999999999999999999,31.09701389,-102.7941944
387,1,18,13,10,3,4,3,1,1,2,70,1,2,2,1,0,0,0,1,0,0,0,0,2,4,480088,0,2006,SR-37,99999999999999999999,33.54642778,-95.17562222
429,1,18,7,45,2,3,2,2,1,4,70,1,2,2,1,20,3,0,1,0,0,0,0,1,4,480089,0,2006,US-180,FM2231,32.76513611,-98.97209444
453,1,18,19,41,4,16,5,1,1,2,99,1,1,2,1,0,0,0,1,0,0,0,0,1,4,480090,330,2006,LAKESHOREBLVD,99999999999999999999,30.24335556,-97.71936667
29,1,19,19,40,1,16,5,1,1,2,30,1,1,2,1,0,0,0,1,0,0,0,0,1,5,480091,6090,2006,STOREYWOOD,99999999999999999999,29.503,-98.53663333
53,1,19,0,55,1,5,8,1,1,2,50,2,3,1,1,40,3,0,1,0,0,0,0,1,5,480092,4310,2006,FM2147,99999999999999999999,30.56352778,-98.27602222
113,1,19,15,37,2,16,5,8,1,2,30,1,1,1,1,0,0,0,1,0,0,0,0,1,5,480093,1240,2006,BELTONLN,99999999999999999999,32.60869167,-96.90958889
113,1,19,1,25,1,11,1,1,2,3,60,2,2,1,1,0,0,0,1,0,0,0,0,1,5,480094,2800,2006,I-30,99999999999999999999,32.76084444,-96.96838056
463,1,19,20,24,2,13,2,3,1,4,30,1,1,2,1,0,0,0,1,0,0,0,0,1,5,480095,7090,2006,US-83,SOUTH,29.20903611,-99.78586389
491,1,19,11,40,3,4,8,2,1,4,45,1,1,1,1,20,3,0,1,0,0,0,0,2,5,480096,0,2006,FM973,FM1660,30.48038333,-97.45898333
503,1,19,8,10,1,2,3,1,1,2,70,1,1,2,1,0,0,0,1,0,0,0,0,1,5,480097,0,2006,SR-114,99999999999999999999,33.31495,-98.647225
29,1,20,0,55,2,12,8,1,3,2,65,1,1,2,1,0,0,0,1,0,0,0,0,1,6,480098,6090,2006,LP1604,99999999999999999999,29.59900556,-98.5654
201,1,20,20,34,3,6,4,1,2,3,35,1,1,2,1,0,0,0,1,0,0,0,0,1,6,480099,0,2006,MASON,99999999999999999999,29.77524444,-95.7517
201,1,20,18,34,2,16,5,3,1,4,30,1,1,2,1,0,0,0,1,0,0,0,0,1,6,480100,3280,2006,MAIN,HOGAN,29.77609444,-95.36160556
349,1,20,8,10,3,4,2,1,1,2,70,1,1,2,1,0,0,0,1,0,0,0,0,1,6,480101,0,2006,US-287,99999999999999999999,32.00756389,-96.15286389
355,1,20,22,40,4,6,4,1,1,2,55,1,1,4,1,0,0,0,1,1,0,0,0,1,6,480102,0,2006,79,99999999999999999999,27.78313889,-97.73373889
477,1,20,99,99,1,6,4,1,1,2,60,1,1,4,1,0,0,0,1,0,0,0,0,1,6,480103,0,2006,WAULSLEGION,99999999999999999999,30.25086389,-96.47406944
303,1,21,18,35,3,13,8,2,1,2,55,1,1,2,1,20,3,0,1,0,0,0,0,1,7,480104,4140,2006,SP327,IOLA,33.53848611,-101.94825829999999
307,1,21,8,55,1,16,5,1,1,2,30,2,1,2,1,0,0,0,1,0,0,0,0,1,7,480105,830,2006,MEMORY,99999999999999999999,31.13963056,-99.34757222
439,1,21,21,0,2,12,3,1,3,3,60,1,1,1,1,0,0,0,1,0,0,0,0,1,7,480106,260,2006,SR-360,99999999999999999999,32.76288333,-97.063275
453,1,21,2,19,2,13,8,1,5,4,45,1,1,2,1,0,0,0,1,0,0,0,0,2,7,480107,330,2006,LP275,PEYTONGIN,30.35775556,-97.70006667
29,1,22,12,20,3,11,1,1,3,3,60,1,1,2,2,0,0,0,1,0,0,0,0,2,1,480108,6090,2006,I-37,99999999999999999999,29.438475,-98.47740833
61,1,22,20,8,1,3,2,3,1,2,35,1,1,2,1,20,3,0,1,1,0,0,0,1,1,480109,6110,2006,US-281,FM732,26.04480833,-97.66590278
85,1,22,14,52,4,16,5,8,2,3,45,1,1,1,2,0,0,0,2,0,0,0,0,1,1,480110,1730,2006,COITRD,99999999999999999999,32.98935556,-96.76790556
89,1,22,2,5,2,3,2,1,1,2,65,2,1,2,2,0,0,0,2,0,0,0,0,1,1,480111,0,2006,US-90A,99999999999999999999,29.48656944,-96.70448611
329,1,22,21,47,2,16,5,1,1,4,35,1,1,2,1,0,0,0,1,0,0,0,0,1,1,480112,4560,2006,LAMESA,99999999999999999999,32.01185833,-102.0687444
439,1,22,5,22,1,12,3,1,1,2,50,2,1,1,2,0,0,0,2,1,0,0,0,1,1,480113,2800,2006,SR-360,99999999999999999999,32.65053333,-97.06260278
17,1,23,0,12,1,4,8,1,1,2,65,2,1,2,1,0,0,0,1,0,0,0,0,1,2,480114,0,2006,FM298,99999999999999999999,34.00659444,-102.87528890000002
5,1,24,15,25,2,2,2,2,3,2,60,1,2,1,1,0,0,0,1,0,0,0,0,1,3,480115,0,2006,US-59,FM2021,31.41027778,-94.72117778
439,1,24,23,54,1,13,8,1,5,6,45,2,1,1,1,0,0,0,1,0,0,0,0,1,3,480116,260,2006,FM157,99999999999999999999,32.64476111,-97.13346389
37,1,25,6,52,2,13,3,1,5,4,55,1,1,2,1,0,0,0,1,0,0,0,0,1,4,480117,6850,2006,SR-93,99999999999999999999,33.39716944,-94.09073889
339,1,25,15,12,2,11,1,1,3,2,65,1,1,2,1,0,0,0,1,0,0,0,0,1,4,480118,1510,2006,I-45,99999999999999999999,30.38273889,-95.48569444
113,1,26,3,56,2,11,1,1,3,3,60,1,1,2,1,0,0,0,1,0,0,0,0,1,5,480119,4530,2006,I-30,99999999999999999999,32.81066944,-96.65324444
249,1,26,5,50,13,2,2,2,2,4,65,1,1,2,1,20,1,0,1,0,20,0,0,6,5,480120,0,2006,US-281,405,27.26784167,-98.13558889
113,1,27,13,27,3,11,1,1,3,4,60,1,1,2,1,0,0,0,1,0,0,0,0,1,6,480121,4530,2006,I-635,99999999999999999999,32.7793,-96.6241
373,1,8,4,45,1,4,8,1,1,2,55,2,2,2,1,0,0,0,1,1,0,0,0,1,1,480122,0,2006,FM1988,99999999999999999999,30.60935278,-94.94062778
507,1,1,6,20,1,3,2,1,1,2,70,1,1,2,1,0,0,0,5,0,0,0,0,1,1,480123,0,2006,US-57,99999999999999999999,28.95241667,-99.522
5,1,2,17,45,4,13,2,2,2,2,55,1,1,2,1,0,0,0,1,0,0,0,0,1,2,480124,4160,2006,US-59,RAMP,31.34203889,-94.71795833
21,1,2,17,4,2,4,8,1,1,2,60,2,1,2,1,0,0,0,1,0,0,0,0,1,2,480125,0,2006,FM1441,99999999999999999999,30.16448889,-97.28988611
205,1,2,15,40,1,2,2,1,1,2,70,2,1,9,1,0,0,0,1,0,0,0,0,1,2,480126,0,2006,US-87,99999999999999999999,36.03788889,-102.4848194
453,1,3,14,35,1,13,8,1,2,2,60,1,1,2,1,40,3,0,1,0,0,0,0,1,3,480127,0,2006,LP360,99999999999999999999,30.30225556,-97.82673889
325,1,4,0,10,2,5,8,1,1,2,55,2,1,2,1,0,0,0,1,0,0,0,0,1,4,480128,0,2006,FM1343,99999999999999999999,29.22473889,-98.94919167
409,1,7,20,29,1,6,4,1,1,2,55,2,3,2,1,0,0,0,1,0,0,0,0,1,7,480129,0,2006,441,99999999999999999999,28.11514444,-97.84095
425,1,5,18,43,2,2,2,1,5,4,45,1,1,1,1,0,0,0,1,0,0,0,0,1,5,480130,2680,2006,US-67,99999999999999999999,32.23890556,-97.75573611
