COUNTY,MONTH,DAY,HOUR,MINUTE,PERSONS,ROAD_FNC,ROUTE,REL_JUNC,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,WEATHER1,WEATHER2,C_M_ZONE,CF1,CF2,CF3,FATALS,DAY_WEEK,ST_CASE,CITY,YEAR,TWAY_ID,TWAY_ID2,WEATHER,latitude,longitud
229,1,3,2,33,3,1,1,1,2,2,65,1,2,1,4,0,0,0,1,0,0,0,0,0,1,4,480058,0,2007,I-10,99999999999999999999,1,31.17063889,-105.3427889
339,1,3,17,55,3,4,8,1,1,2,60,1,1,2,1,0,0,0,1,0,0,0,0,0,1,4,480059,0,2007,FM149,99999999999999999999,1,30.36624722,-95.69798333
427,1,3,14,30,3,2,2,1,2,2,65,1,1,2,2,0,0,0,2,0,0,0,0,0,1,4,480060,0,2007,US-83,99999999999999999999,2,26.29269722,-98.60206667
439,1,3,18,45,2,13,3,3,3,3,40,1,1,1,3,3,3,0,1,0,0,0,0,0,1,4,480061,2450,2007,SR-180,CANTON,1,32.73631667,-97.22979167
339,1,4,17,20,1,6,4,1,1,2,30,1,1,2,1,0,0,0,1,0,0,0,0,0,1,5,480062,0,2007,PORTER,99999999999999999999,1,30.15877778,-95.31339167
29,1,5,9,54,2,13,8,1,1,2,60,2,1,1,1,0,0,0,1,0,0,0,0,0,1,6,480063,0,2007,FM2696,99999999999999999999,1,29.56770556,-98.51967778
61,1,5,15,38,3,2,2,1,2,2,55,1,1,2,1,0,0,0,1,0,0,0,0,0,1,6,480064,0,2007,US-83,99999999999999999999,1,26.18689444,-97.77078611
75,1,5,4,19,4,2,2,1,2,2,65,1,1,2,1,0,0,0,1,0,0,0,0,0,1,6,480065,0,2007,US-287,99999999999999999999,1,34.37436389,-100.0299389
167,1,5,15,15,1,11,7,13,6,1,55,2,1,2,1,40,3,0,1,0,0,0,0,0,1,6,480066,3850,2007,I-45RAMP,99999999999999999999,1,29.33135278,-94.93332222
449,1,5,20,40,2,5,8,1,1,2,55,2,1,2,1,0,0,0,5,0,0,0,0,0,1,6,480067,0,2007,FM1993,99999999999999999999,5,33.19928333,-94.86201667
57,1,6,11,59,3,3,3,1,2,2,55,1,1,1,2,0,0,0,2,0,0,0,0,0,2,7,480068,0,2007,SR-35,99999999999999999999,2,28.66873611,-96.57104444
303,1,6,14,3,4,2,2,3,2,2,70,1,1,2,1,0,0,0,1,0,0,0,0,0,1,7,480069,0,2007,US-62,FM789,1,33.66712222,-101.61349440000001
201,1,7,0,30,1,11,1,1,2,2,60,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,480070,3280,2007,I-610,99999999999999999999,1,29.81418056,-95.37948611
291,1,7,17,50,2,3,8,8,1,2,65,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,480071,0,2007,FM-1960,99999999999999999999,1,30.04042222,-95.04536944
61,1,8,11,2,3,2,3,1,2,2,45,1,1,2,1,0,0,0,1,0,0,0,0,0,1,2,480072,6502,2007,SR-100,99999999999999999999,1,26.13594167,-97.17175556
245,1,8,19,39,4,12,7,15,1,2,45,1,1,1,1,0,0,0,1,0,0,0,0,0,4,2,480073,5430,2007,SR-73,99999999999999999999,1,29.90365556,-93.96967778
387,1,8,18,25,2,2,2,1,1,2,65,1,1,2,1,0,0,0,1,0,0,0,0,0,1,2,480074,0,2007,US-82,99999999999999999999,1,33.61285833,-95.10702778
409,1,8,19,35,4,2,2,3,2,2,65,2,1,2,1,4,3,0,1,0,0,0,0,0,2,2,480075,0,2007,US-77,BU-77,1,28.05955556,-97.50623056
209,1,9,23,16,3,3,3,1,1,4,60,1,1,2,1,0,0,0,1,0,0,0,0,0,1,3,480076,0,2007,SR-80,99999999999999999999,1,29.87535833,-97.90335
113,1,11,20,34,1,16,5,2,1,2,45,2,3,2,1,20,3,0,1,0,0,20,0,0,1,5,480077,4530,2007,SCYENE,LAWSON,1,32.75428056,-96.51964167
167,1,11,6,38,2,13,8,3,2,3,45,1,1,1,1,98,3,0,1,0,0,0,0,0,1,5,480078,3850,2007,FM1765,VAUTHIER,1,29.37860556,-94.99293056
339,1,11,18,50,2,6,4,1,1,2,35,1,1,2,1,0,0,0,1,0,0,0,0,0,1,5,480079,0,2007,OLD105,99999999999999999999,1,30.31507222,-95.26941944
469,1,11,13,55,4,2,2,7,2,2,70,1,1,2,1,0,0,0,1,0,0,0,0,0,2,5,480080,0,2007,US-59,99999999999999999999,1,28.73223333,-97.03283333
29,1,12,15,7,1,2,2,1,2,2,65,1,1,1,1,0,0,0,1,0,0,0,0,0,1,6,480081,0,2007,US-90,99999999999999999999,1,29.37715556,-98.72388611
141,1,12,19,55,4,13,8,2,5,6,40,1,1,1,1,3,3,0,1,0,0,0,0,0,1,6,480082,2190,2007,lp375,pellicano,1,31.72617778,-106.26784170000002
201,1,12,21,20,1,16,5,3,1,2,30,1,1,2,1,0,0,0,1,0,0,0,0,0,1,6,480083,3280,2007,fuqua,wayside,1,29.61206389,-95.31779722
201,1,12,0,25,3,16,5,1,2,2,40,1,1,1,1,0,0,0,1,0,0,0,0,0,1,6,480084,3280,2007,FUQUA,99999999999999999999,1,29.61333889,-95.43412222
219,1,12,22,40,1,3,3,1,2,2,65,1,1,2,4,0,0,0,3,0,0,0,0,0,1,6,480085,0,2007,SR-114,99999999999999999999,3,33.58394722,-102.1398778
313,1,12,12,5,2,1,7,2,1,2,55,2,2,2,1,20,3,0,1,0,0,0,0,0,1,6,480086,0,2007,I-45,SR-75,1,31.01179722,-95.92233056
353,1,12,6,9,3,1,1,1,2,2,65,1,2,2,2,0,0,0,2,6,0,19,0,0,1,6,480087,0,2007,I-20,99999999999999999999,2,32.48996667,-100.24094170000001
427,1,12,22,47,2,13,2,3,1,4,50,1,1,2,1,0,0,2,1,0,0,0,0,0,1,6,480088,2246,2007,US-83,HACKBERRY,1,26.40766389,-98.97838889
161,1,13,14,37,2,1,1,1,2,2,70,1,1,2,6,0,0,1,2,0,0,0,0,0,1,7,480089,0,2007,I-45,99999999999999999999,2,31.7982,-96.25495833
169,1,13,9,50,3,2,2,1,2,2,70,1,1,2,4,0,0,0,3,0,0,0,0,0,1,7,480090,0,2007,US-84,99999999999999999999,3,32.9902,-101.1407333
185,1,13,0,45,2,5,8,1,1,2,65,1,2,2,2,0,0,0,2,0,0,0,0,0,1,7,480091,0,2007,FM3090,99999999999999999999,2,30.41921389,-96.07516667
