COUNTY,MONTH,DAY,HOUR,MINUTE,PERSONS,ROAD_FNC,ROUTE,REL_JUNC,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,WEATHER1,WEATHER2,C_M_ZONE,CF1,CF2,CF3,FATALS,DAY_WEEK,ST_CASE,CITY,YEAR,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,WEATHER
27,1,27,17,30,1,4,8,1,1,2,60,2,1,2,1,0,0,0,1,0,0,0,0,0,1,1,480125,0,2008,FM1670,99999999999999999999,31.02783056,-97.52840833,1
339,1,27,2,20,2,4,8,3,1,2,55,1,1,2,1,20,3,0,1,0,0,0,0,0,1,1,480126,9997,2008,FM2090,FM3083,30.25223333,-95.33010278,1
201,1,28,3,20,3,3,3,1,2,3,65,1,1,1,1,0,0,3,1,0,0,0,0,0,1,2,480128,0,2008,SR-249,99999999999999999999,30.01951389,-95.59445556,1
227,1,28,17,20,5,1,1,1,2,2,70,1,1,2,1,0,0,0,8,0,0,0,0,0,1,2,480129,0,2008,I-20,99999999999999999999,32.28203333,-101.35226109999999,8
233,1,28,14,52,1,13,7,1,4,1,55,1,1,2,1,0,0,0,1,0,0,0,0,0,1,2,480130,780,2008,SR-136,99999999999999999999,35.65406389,-101.4459,1
259,1,28,16,26,5,1,1,5,6,1,70,1,2,2,1,20,3,0,1,0,0,0,0,0,1,2,480131,0,2008,I-10RAMP,US-87,29.98098333,-98.9037,1
355,1,28,13,40,3,2,2,1,2,2,70,1,1,1,1,0,0,0,6,0,0,0,0,0,1,2,480132,0,2008,US-77,99999999999999999999,27.69158056,-97.73940278,6
361,1,29,24,0,1,16,5,2,1,2,30,2,1,2,1,0,0,0,1,0,0,0,0,0,1,3,480133,7200,2008,OLDSPANISHTRAIL,MANSFIELDFERRY,30.09254167,-94.01065833,1
13,1,30,18,42,2,1,1,1,2,2,70,1,1,2,1,0,0,0,1,0,0,0,0,0,1,4,480134,0,2008,I-37,99999999999999999999,28.85535,-98.38402778,1
113,1,30,14,15,1,16,5,1,2,2,40,1,2,2,1,0,0,0,1,0,0,0,0,0,1,4,480135,1730,2008,ILLINOIS,99999999999999999999,32.72045,-96.87836389,1
201,1,30,10,35,1,12,3,15,2,3,60,1,2,2,1,0,0,0,1,0,1,0,0,0,1,4,480136,3280,2008,SR-288,99999999999999999999,29.65796111,-95.38744167,1
221,1,30,16,20,1,6,4,1,1,2,25,1,1,8,1,0,0,0,1,0,0,0,0,0,1,4,480137,0,2008,OAKWOOD,99999999999999999999,32.48691111,-97.82884444,1
69,1,31,7,0,1,2,2,3,2,2,65,1,1,2,4,0,0,0,1,0,0,0,0,0,1,5,480138,0,2008,US-60,FM1057,34.73574167,-102.5129972,1
339,1,31,19,15,1,6,4,1,1,2,35,2,1,2,1,0,0,0,1,0,0,0,0,0,1,5,480139,0,2008,HONEAEGYPT,99999999999999999999,30.22256667,-95.56810556,1
375,1,31,7,10,2,13,8,1,5,4,55,1,2,2,4,0,0,0,4,0,0,0,0,0,1,5,480140,150,2008,LP335,99999999999999999999,35.26561111,-101.82781109999999,4
