ST_CASE,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,TYP_INT,WEATHER1,WEATHER2,WEATHER,CF1,CF2,CF3,FATALS
480154,1,231,0,25,1,2012,4,9,35,2,2,US-69,,33.00946389,-95.9547,1,2,0,2,0,0,0,1
480155,1,329,0,25,1,2012,4,13,20,13,8,BI20E,,31.95000833,-102.164,1,2,0,2,0,0,0,1
480156,4,215,5330,27,1,2012,6,14,5,12,2,US-83,,26.20536944,-98.1727,1,1,0,1,0,0,0,1
480157,1,287,0,27,1,2012,6,5,46,4,8,FM180,,30.17046111,-96.8181,1,1,0,1,0,0,0,1
480158,6,453,330,27,1,2012,6,21,11,16,5,OAK SPRINGS DR,,30.27349444,-97.6906,1,1,0,1,0,0,0,1
480159,4,257,0,28,1,2012,7,11,0,4,8,FM148,OAK TRL,32.42805833,-96.3597,3,1,0,1,0,0,0,1
480160,3,483,0,28,1,2012,7,20,9,5,8,FM453 PAKAN RD,,35.265925,-100.432,1,1,0,1,0,0,0,3
480161,1,201,0,29,1,2012,1,21,15,12,7,SL 8 S SAM HOUSTON PKY,,29.59715,-95.4189,1,1,0,1,0,0,0,1
480162,1,437,0,29,1,2012,1,3,16,11,1,I-27 RAMP,,34.52739167,-101.795,1,1,0,1,0,0,0,1
480163,1,493,0,30,1,2012,2,8,20,4,8,FM 1681,,29.374375,-97.9559,1,10,0,10,0,0,0,1
480164,2,125,0,31,1,2012,3,12,30,2,2,US-82,,33.61078889,-100.575,1,1,0,1,0,0,0,1
480165,3,361,0,31,1,2012,3,18,45,3,3,SR-62,,30.07855,-93.8218,1,2,0,2,0,0,0,1
480166,1,29,0,12,1,2012,5,19,48,1,1,I-37,,29.21812778,-98.4125,1,1,0,1,0,0,0,1
480167,2,141,2190,31,1,2012,3,16,24,16,5,LEE BLVD,EDGEMERE BLVD,31.79142778,-106.294,2,1,0,1,0,0,0,1
480168,2,85,0,17,1,2012,3,8,23,13,2,US-380,BRIDGEFARMER RD,33.18961944,-96.5478,2,1,0,1,0,0,0,1
