ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10380,1998,27,27,27,27,27,27,27,27,27,27
10381,1998,14,33,16,13,10,23,21,15,1,21
10382,1998,0,0,0,0,0,0,0,0,0,0
10383,1998,9,8,4,23,4,10,8,11,8,5
10384,1998,20,15,25,0,0,23,11,22,31,12
10385,1998,30,30,30,30,30,30,30,30,30,30
10386,1998,0,0,0,0,0,0,0,0,0,0
10387,1998,0,0,0,0,0,0,0,0,0,0
10388,1998,0,5,8,20,15,0,10,22,0,0
10389,1998,8,21,21,11,0,36,10,16,32,21
10390,1998,0,0,33,0,3,4,0,14,14,11
10391,1998,0,0,0,0,0,18,0,0,0,0
10392,1998,15,19,27,17,8,20,8,25,15,15
10393,1998,0,0,0,0,0,0,0,0,0,0
10394,1998,46,25,9,16,13,13,27,12,0,25
10395,1998,32,34,10,25,20,8,12,9,15,14
10396,1998,0,0,0,0,0,0,0,0,0,0
10397,1998,0,8,26,0,0,0,0,11,5,0
10398,1998,39,15,50,20,29,41,22,27,33,19
10399,1998,0,0,0,0,0,0,0,0,0,0
10400,1998,0,0,27,0,0,35,0,13,10,14
10401,1998,0,0,0,0,0,0,0,5,0,7
10402,1998,0,0,0,0,0,0,0,0,0,0
10403,1998,0,0,0,0,0,0,0,0,0,0
10404,1998,21,21,21,21,21,21,21,21,21,21
10405,1998,0,0,0,0,0,0,0,0,0,0
10406,1998,0,0,0,0,0,0,20,10,0,12
10407,1998,0,2,7,35,12,17,13,13,12,17
10408,1998,0,0,0,0,0,0,0,0,0,0
10409,1998,0,0,0,0,0,0,0,0,0,0
10410,1998,0,0,0,0,0,0,0,0,0,0
10411,1998,25,25,25,25,25,25,25,25,25,25
10412,1998,24,20,14,16,10,15,14,10,15,12
10413,1998,0,0,0,16,19,0,0,0,0,20
10414,1998,0,0,0,0,0,0,0,0,0,0
10415,1998,5,5,5,5,5,5,5,5,5,5
10416,1998,33,17,19,21,33,8,17,0,12,0
10417,1998,18,18,18,18,18,18,18,18,18,18
10418,1998,0,0,0,0,0,0,0,0,0,0
10419,1998,0,29,0,9,10,0,4,5,7,8
10420,1998,15,22,19,13,0,12,17,27,16,11
10421,1998,16,19,26,31,0,8,23,0,9,0
10422,1998,0,0,0,0,0,0,0,0,0,0
10423,1998,0,0,0,0,0,0,0,0,0,0
10424,1998,0,0,0,0,0,0,0,0,0,0
10425,1998,21,21,21,21,21,21,21,21,21,21
10426,1998,0,0,0,0,0,0,0,0,0,0
10427,1998,0,6,0,18,18,11,11,9,12,8
10428,1998,0,0,0,0,0,0,0,0,0,0
10429,1998,0,0,0,0,0,0,0,0,0,0
10430,1998,19,19,19,19,19,19,19,19,19,19
10431,1998,0,0,0,0,0,0,0,0,0,0
10432,1998,14,14,14,14,14,14,14,14,14,14
10433,1998,0,0,0,0,0,0,0,0,0,0
10434,1998,14,26,30,0,22,19,46,19,44,15
10435,1998,7,7,7,7,7,7,7,7,7,7
10436,1998,19,15,23,18,22,40,40,21,19,26
10437,1998,10,0,0,0,0,0,0,0,0,0
10438,1998,0,8,25,9,0,0,15,32,0,0
10439,1998,0,0,0,0,0,0,0,0,0,0
10440,1998,11,11,11,11,11,11,11,11,11,11
10441,1998,0,0,0,0,0,0,0,0,0,27
10442,1998,0,0,0,0,0,0,0,0,0,0
10443,1998,9,0,24,0,15,28,22,34,23,4
10444,1998,0,0,0,0,0,0,0,0,0,0
10445,1998,0,33,0,0,16,0,18,10,31,13
10446,1998,21,21,21,21,21,21,21,21,21,21
10447,1998,11,11,11,11,11,11,11,11,11,11
10448,1998,0,0,0,0,0,0,0,0,0,0
10449,1998,0,0,9,0,0,0,0,0,0,0
10450,1998,13,22,20,25,20,15,0,18,11,11
10451,1998,0,0,0,0,0,0,0,0,0,10
10452,1998,21,32,14,18,13,28,0,0,0,0
10453,1998,0,0,0,6,0,0,0,0,0,0
10454,1998,19,24,0,18,0,6,18,14,9,9
10455,1998,19,22,22,19,25,15,19,5,25,13
10456,1998,0,0,0,0,0,0,0,0,0,0
10457,1998,0,0,0,0,0,0,0,0,0,0
10458,1998,38,38,38,38,38,38,38,38,38,38
10459,1998,18,0,17,20,14,19,21,25,0,0
10460,1998,22,22,22,22,22,22,22,22,22,22
10461,1998,12,0,0,0,0,0,0,0,0,0
10462,1998,20,20,20,20,20,20,20,20,20,20
10463,1998,0,0,0,0,0,0,0,0,0,0
10464,1998,8,8,8,8,8,8,8,8,8,8
10465,1998,0,0,0,0,0,0,0,0,0,0
10466,1998,21,21,21,21,21,21,21,21,21,21
10467,1998,6,9,15,7,2,24,20,9,16,0
10468,1998,17,0,0,0,0,0,0,0,0,0
10469,1998,0,0,20,17,0,19,0,25,0,6
10470,1998,19,0,0,0,22,0,0,0,22,0
10471,1998,15,30,27,16,38,25,19,18,18,17
10472,1998,10,0,0,0,0,0,0,12,4,0
10473,1998,0,0,0,0,0,0,0,0,0,0
10474,1998,0,0,0,0,0,0,0,0,0,0
10475,1998,10,20,0,0,11,0,21,11,21,4
10476,1998,31,31,31,31,31,31,31,31,31,31
10477,1998,10,10,10,10,10,10,10,10,10,10
10478,1998,0,0,0,0,0,0,0,0,0,0
10479,1998,8,8,8,8,8,8,8,8,8,8
10480,1998,0,0,0,0,0,0,0,0,0,0
10481,1998,0,0,0,0,0,0,0,0,0,0
10482,1998,0,0,0,0,0,0,0,0,0,0
10483,1998,0,0,0,0,0,0,0,0,12,0
10484,1998,0,0,0,0,0,0,0,0,0,0
10485,1998,0,0,0,0,0,0,0,0,0,0
10486,1998,0,49,13,0,6,16,0,10,19,27
10487,1998,0,0,0,0,0,0,0,0,0,0
10488,1998,0,9,0,0,21,0,0,0,0,0
10489,1998,0,0,0,5,0,0,0,11,0,20
10490,1998,21,21,21,21,21,21,21,21,21,21
10491,1998,21,21,6,19,8,11,11,18,23,8
10492,1998,0,0,14,17,4,12,0,0,0,16
10493,1998,13,16,14,14,13,16,12,19,18,13
10494,1998,9,11,25,11,10,20,11,10,14,12
10495,1998,0,0,0,0,27,6,0,0,0,0
10496,1998,0,0,0,0,0,0,0,0,0,0
10497,1998,0,0,0,0,0,0,0,0,0,0
10498,1998,5,11,12,0,0,24,9,0,17,0
10499,1998,0,0,0,0,0,7,0,0,0,0
10500,1998,0,0,0,0,0,11,0,0,0,18
10501,1998,0,0,3,0,0,0,6,0,0,0
10502,1998,6,0,0,0,0,0,0,0,0,0
10503,1998,0,17,0,0,0,0,0,0,0,20
10504,1998,9,9,9,9,9,9,9,9,9,9
10505,1998,0,0,0,0,0,0,0,0,0,0
10506,1998,29,0,10,0,7,19,17,15,6,8
10507,1998,0,0,0,0,0,0,0,0,0,0
10508,1998,0,0,0,0,0,0,0,0,0,0
10509,1998,16,16,16,16,16,16,16,16,16,16
10510,1998,10,0,0,0,0,0,0,0,19,0
10511,1998,22,22,22,22,22,22,22,22,22,22
10512,1998,0,0,0,0,0,0,0,0,0,0
10513,1998,0,0,7,0,0,0,0,0,0,0
10514,1998,0,0,0,0,0,11,0,0,19,0
10515,1998,0,0,0,0,0,0,0,0,0,0
10516,1998,0,0,0,0,0,0,0,17,0,0
10517,1998,0,0,0,0,0,0,16,0,12,0
10518,1998,17,9,0,0,0,8,0,19,0,0
10519,1998,0,0,19,0,0,0,0,0,0,0
10520,1998,0,0,0,0,0,0,0,0,0,0
10521,1998,13,15,10,20,11,26,29,25,26,11
10522,1998,0,0,0,0,0,0,0,0,0,0
10523,1998,0,0,0,0,0,0,0,0,0,0
10524,1998,0,0,0,0,0,0,0,0,0,0
10525,1998,0,0,13,0,0,0,0,0,0,0
10526,1998,34,6,8,16,12,12,17,13,14,14
10527,1998,0,0,0,0,0,0,0,0,0,38
10528,1998,10,0,0,0,0,0,20,0,0,0
10529,1998,10,3,14,24,10,5,12,21,16,13
10530,1998,0,0,0,0,0,0,0,0,0,0
10531,1998,25,25,25,25,25,25,25,25,25,25
