VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,STATE,VEH_NO,OCUPANTS,MAKE,MODEL,BODY_TYP,REG_STAT,OWNER,ROLLOVER,J_KNIFE,TRAV_SP,HAZ_CARG,TOW_VEH,V_CONFIG,AXLES,CARGO_BT,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,UNDERIDE,DEFORMED,IMPACTS,TOWAWAY,FIRE_EXP,VEH_CF1,VEH_CF2,VEH_MAN,AVOID,M_HARM,DEATHS,SEQ1,SEQ2,SEQ3,SEQ4,SEQ5,SEQ6,VIN_LNGT,BUS_USE,GVWR,UNITTYPE,ST_CASE,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,MCARR_ID,FLDCD_TR,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,DR_PRES,DR_DRINK,L_STATE,L_TYPE,L_STATUS,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,VIOLCHG1,VIOLCHG2,VIOLCHG3,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,LAST_MO,FIRST_MO,DR_CF1,DR_CF2,DR_CF3,DR_CF4,DR_WGT,DR_HGT,LAST_YR,FIRST_YR,DR_ZIP,MONTH,HARM_EV,MAN_COLL,HIT_RUN,VE_FORMS
WBAAM5341YFR,W,B,A,A,M,5,3,4,1,Y,F,R,12,3,0,34,34,4,12,6,0,0,99,0,0,0,0,0,0,0,2,2,0,4,2,9,0,0,0,99,8,54,0,99,99,99,99,99,99,17,0,0,3,122168,34034,2000,28I,***,4D,00000000000,*,1073,0,,3197,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,10,12,5,0,2
1GNDU06L9ST1,1,G,N,D,U,0,6,L,9,S,T,1,12,3,0,20,442,20,12,6,0,0,99,0,0,0,0,0,0,0,6,14,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,122176,20442,1995,L/M,***,SV,00000000000,*,1098,0,,3516,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,10,12,6,0,3
1HGEJ6675XL0,1,H,G,E,J,6,6,7,5,X,L,0,12,2,2,37,31,4,12,6,0,0,99,0,0,0,0,0,0,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,122189,37031,1999,UCL,***,4D,00000000000,*,1032,0,,2456,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,11,8,0,0,1
3N1CB51D61L5,3,N,1,C,B,5,1,D,6,1,L,5,12,3,0,35,43,4,12,6,0,0,99,0,0,0,0,0,0,0,7,7,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,122195,35043,2001,XGX,***,4D,00000000000,*,998,0,,2469,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,11,12,5,0,2
1FAFP33P03W2,1,F,A,F,P,3,3,P,0,3,W,2,12,4,0,12,37,4,12,6,0,0,99,0,0,0,0,0,0,0,6,6,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,122195,12037,2003,FOX,***,4D,00000000000,*,1030,0,,2564,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,11,12,5,0,2
1GCEK14K4RZ2,1,G,C,E,K,1,4,K,4,R,Z,2,12,2,0,20,481,31,12,6,0,0,99,0,0,0,0,0,0,0,8,8,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,122202,20481,1994,GK1,GM4,PK,00000000000,G,1175,1315,,,2,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,11,43,0,0,1
J8DC4B143270,J,8,D,C,4,B,1,4,3,2,7,0,12,2,0,23,882,61,12,6,0,0,99,0,0,1,2,1,0,0,6,6,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,2,3,122210,23882,2002,W45,4/5,TB,88888888888,D,9999,9999,,,4,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,5,14,1,0,1
1FBNE31L24HB,1,F,B,N,E,3,1,L,2,4,H,B,12,1,1,12,461,21,54,6,0,0,99,0,1,0,0,0,0,0,6,6,0,2,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,122305,12461,2004,WSD,ECO,BU,00000000000,G,1380,0,,,2,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,11,14,9,0,1
JTHBD1827100,J,T,H,B,D,1,8,2,7,1,0,0,12,1,0,59,35,4,12,6,0,0,99,0,0,0,0,0,0,0,6,12,0,6,3,9,0,0,0,99,8,8,0,99,99,99,99,99,99,17,0,0,2,122317,59035,2001,IS3,***,4D,00000000000,*,1051,0,,3270,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,4,12,1,0,4
WBADK7308H98,W,B,A,D,K,7,3,0,8,H,9,8,12,2,0,34,35,4,12,6,0,0,99,0,0,0,0,0,0,0,10,10,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,122348,34035,1987,52E,***,4D,00000000000,*,1033,0,,3100,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,6,14,8,0,1
