st_case,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,YEAR
10294,0,0,0,0,0,0,0,0,0,0,2001
10295,17,17,17,17,17,17,17,17,17,17,2001
10296,0,0,0,0,0,0,0,0,23,0,2001
10297,22,26,32,13,0,34,0,19,23,26,2001
10298,26,19,14,14,14,26,18,16,18,14,2001
10299,5,5,5,5,5,5,5,5,5,5,2001
10300,11,28,17,23,12,14,14,16,9,13,2001
10301,11,0,18,7,0,0,0,0,24,0,2001
10302,34,0,0,29,0,0,0,19,0,0,2001
10303,0,0,0,0,0,0,0,0,0,0,2001
10304,0,0,16,0,0,0,0,14,0,0,2001
10305,0,0,17,0,4,6,0,0,0,11,2001
10306,0,0,0,0,0,0,0,0,0,0,2001
10307,31,10,24,21,27,14,44,9,16,21,2001
10308,25,18,22,23,24,16,11,21,14,3,2001
10309,0,0,0,0,0,0,0,0,0,0,2001
10310,19,0,0,0,0,0,0,0,0,20,2001
10311,0,0,0,0,0,0,0,0,0,0,2001
10312,15,19,20,39,21,9,19,22,7,16,2001
10313,14,23,7,14,24,19,27,15,29,20,2001
10314,0,0,0,0,0,0,0,0,0,0,2001
10315,0,0,15,0,19,27,10,21,8,30,2001
10316,20,18,13,9,23,7,11,20,0,14,2001
10317,0,0,0,0,0,0,0,0,0,0,2001
10318,0,0,0,0,0,0,0,0,0,0,2001
10319,0,0,0,0,0,0,0,0,0,0,2001
10320,0,0,0,0,0,0,0,0,0,0,2001
10321,22,22,22,22,22,22,22,22,23,22,2001
10322,0,0,0,0,0,0,0,0,0,0,2001
10323,0,0,0,0,0,0,0,0,0,0,2001
10324,0,0,0,0,0,0,0,0,0,0,2001
10325,0,0,0,0,0,0,0,0,0,0,2001
10326,39,22,19,5,0,0,20,0,0,22,2001
10327,5,0,20,0,0,0,43,3,0,0,2001
10328,17,21,29,23,11,30,13,30,4,22,2001
10329,0,0,0,26,12,0,0,14,0,0,2001
10330,0,0,0,25,0,0,0,0,0,0,2001
10331,33,39,33,19,19,27,10,18,8,15,2001
10332,18,18,18,18,18,18,18,18,18,18,2001
10333,13,20,32,24,21,0,17,5,0,0,2001
10334,0,0,0,22,0,0,0,0,0,0,2001
10335,0,0,2,0,0,0,0,0,22,0,2001
10336,0,0,0,0,0,0,0,9,34,0,2001
10337,0,0,0,0,0,0,0,0,0,0,2001
10338,0,0,20,0,19,0,0,6,0,0,2001
10339,0,0,0,0,0,0,0,35,0,10,2001
10340,0,0,0,0,0,0,0,0,0,0,2001
10341,30,0,9,5,28,19,30,13,0,20,2001
10342,0,0,0,0,0,0,0,0,0,0,2001
10343,23,23,23,23,23,23,23,23,23,23,2001
10344,14,14,14,14,14,14,14,14,14,14,2001
10345,0,20,23,0,0,0,10,30,0,0,2001
10346,0,5,18,0,10,0,0,0,13,0,2001
10347,0,0,0,0,0,0,0,0,0,0,2001
10348,0,15,20,24,0,0,29,18,0,9,2001
10349,15,0,0,0,0,0,0,0,0,0,2001
10350,0,10,0,0,0,9,0,0,0,0,2001
10351,0,25,0,0,14,11,0,0,0,0,2001
10352,0,0,11,0,0,8,13,24,0,22,2001
10353,0,0,0,0,0,0,11,0,36,0,2001
10354,0,0,0,14,0,0,0,0,0,0,2001
10355,16,19,6,15,12,15,27,8,25,7,2001
10356,0,0,0,0,25,0,0,0,0,0,2001
10357,0,0,0,0,0,0,0,0,0,0,2001
10358,0,0,0,0,8,0,0,0,0,0,2001
10359,0,35,8,0,16,23,0,9,15,5,2001
