ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10139,2,1,1999,0,0,0,0,0,0,0,0,0,0
10140,1,1,1999,0,0,15,0,0,33,0,37,27,26
10141,1,1,1999,2,0,0,0,0,0,0,0,0,5
10142,1,1,1999,0,0,0,0,0,0,0,0,0,0
10142,2,1,1999,0,0,0,0,0,0,0,0,0,0
10143,1,1,1999,19,10,11,0,32,11,19,12,11,19
10143,2,1,1999,21,0,0,0,0,0,0,0,0,0
10144,1,1,1999,19,16,0,0,25,0,26,26,12,20
10144,2,1,1999,0,0,0,0,8,0,12,0,0,0
10145,1,1,1999,0,0,0,0,0,0,0,0,0,0
10146,1,1,1999,6,0,17,0,0,0,0,0,8,12
10147,1,1,1999,30,20,14,0,0,0,0,0,5,25
10148,1,1,1999,0,0,0,0,0,0,0,0,0,0
10148,2,1,1999,0,0,0,0,0,0,0,0,0,15
10149,1,1,1999,0,11,0,8,0,12,19,21,18,15
10149,2,1,1999,9,20,11,19,13,13,4,14,14,8
10150,1,1,1999,0,0,0,0,0,0,0,0,0,0
10150,2,1,1999,0,0,0,0,0,0,0,0,0,0
10151,1,1,1999,0,34,0,0,0,0,0,0,0,0
10151,2,1,1999,0,0,0,0,0,0,0,0,0,0
10152,1,1,1999,0,0,0,0,0,0,14,15,0,17
10152,2,1,1999,13,0,0,0,0,0,0,0,0,0
10153,1,1,1999,0,0,0,0,0,0,14,0,0,26
10154,1,1,1999,36,0,14,0,0,27,0,26,5,0
10155,0,1,1999,0,0,0,0,0,0,0,0,0,0
10155,1,1,1999,15,15,15,15,15,15,15,15,15,15
10156,1,1,1999,0,0,0,0,0,0,0,0,0,0
10156,2,1,1999,0,0,0,0,0,0,0,0,0,0
10157,1,1,1999,0,0,0,0,0,0,0,0,0,0
10157,2,1,1999,0,0,0,0,0,0,0,0,0,0
10158,1,1,1999,0,0,0,0,0,0,0,0,0,0
10158,2,1,1999,0,0,0,0,0,0,0,0,0,0
10158,3,1,1999,0,0,0,0,0,0,13,0,0,0
10159,0,1,1999,23,0,11,0,0,0,0,0,0,0
10159,1,1,1999,0,0,0,0,0,0,0,0,0,0
10160,1,1,1999,0,0,9,0,0,0,12,0,0,13
10161,1,1,1999,27,16,28,0,28,14,10,0,0,20
10162,1,1,1999,21,21,21,21,21,21,21,21,21,21
10162,2,1,1999,10,10,10,10,10,10,10,10,10,10
10163,1,1,1999,0,0,0,0,0,0,0,0,0,0
10163,2,1,1999,0,0,13,0,0,0,0,0,0,11
10164,0,1,1999,0,0,0,0,0,0,0,0,19,9
10164,1,1,1999,0,0,0,0,0,0,0,0,0,0
10164,2,1,1999,0,0,0,0,0,0,0,0,0,0
10165,1,1,1999,0,0,0,0,0,0,0,0,0,0
10165,2,1,1999,0,0,0,0,0,0,0,0,0,0
10166,1,1,1999,0,0,0,0,0,0,0,0,0,0
10166,2,1,1999,0,0,0,0,0,0,0,0,0,0
10167,1,1,1999,22,22,22,22,22,22,22,22,22,22
10168,1,1,1999,0,0,0,0,0,0,0,0,0,0
10168,2,1,1999,0,0,0,0,0,0,0,0,11,0
10168,3,1,1999,0,0,0,0,0,0,0,0,0,0
10168,4,1,1999,0,0,0,0,0,0,0,0,0,0
10169,1,1,1999,15,0,21,0,25,33,0,33,19,19
10170,1,1,1999,8,11,9,0,0,12,21,30,7,0
10171,1,1,1999,25,22,54,18,27,27,33,22,36,28
10172,1,1,1999,0,21,18,21,0,0,20,53,0,22
10173,1,1,1999,26,16,25,7,27,15,10,25,0,20
10174,1,1,1999,0,10,0,0,0,0,0,0,0,0
10174,2,1,1999,0,0,0,0,0,0,0,0,0,0
10175,1,1,1999,25,35,23,7,29,30,25,9,16,0
10176,1,1,1999,0,0,0,0,0,0,0,0,0,0
10176,2,1,1999,0,0,0,0,0,0,0,0,0,0
10176,3,1,1999,0,0,0,0,0,0,0,0,0,0
10176,4,1,1999,0,0,0,0,0,0,0,0,0,0
10177,1,1,1999,0,0,0,0,0,0,0,0,0,0
10178,1,1,1999,0,0,0,0,0,0,0,0,0,0
10178,2,1,1999,0,0,0,0,0,0,0,0,0,0
10179,1,1,1999,18,0,9,0,0,0,17,0,0,21
10180,1,1,1999,12,4,17,0,11,6,15,6,29,20
10180,2,1,1999,0,0,0,0,0,0,0,0,0,0
10181,1,1,1999,20,22,7,36,15,14,35,22,24,28
10182,1,1,1999,19,22,5,23,16,12,23,12,9,20
10182,2,1,1999,0,0,0,0,0,0,0,0,0,0
10183,1,1,1999,0,0,0,0,0,0,0,0,0,0
10183,2,1,1999,0,0,0,0,0,0,0,0,0,0
10184,1,1,1999,33,18,20,0,29,23,21,5,13,24
10184,2,1,1999,0,0,0,0,0,0,0,0,0,0
10185,1,1,1999,0,0,13,0,0,0,0,0,0,0
10185,2,1,1999,0,0,0,0,0,0,0,0,0,0
10185,3,1,1999,0,0,0,0,0,0,0,0,0,0
10185,4,1,1999,0,0,0,0,0,0,0,0,0,0
10186,1,1,1999,0,0,0,0,0,0,6,0,0,0
10187,1,1,1999,0,0,0,0,0,0,0,0,0,0
10188,0,1,1999,14,0,0,0,22,22,0,0,0,0
10188,1,1,1999,0,0,0,0,0,0,0,0,0,0
10189,1,1,1999,0,5,0,0,0,0,0,17,9,0
10189,2,1,1999,0,0,0,0,0,0,0,0,0,0
10190,1,1,1999,0,0,0,0,0,0,0,0,0,0
10191,1,1,1999,0,0,0,0,0,0,0,0,0,0
10191,2,1,1999,0,0,0,0,0,8,5,0,0,0
10192,1,1,1999,15,15,15,15,15,15,15,15,15,15
10192,2,1,1999,0,0,0,0,0,0,0,0,0,0
10193,1,1,1999,0,0,0,0,0,0,23,0,0,0
10193,2,1,1999,0,0,0,0,0,0,7,0,0,0
10194,1,1,1999,0,0,0,0,0,0,0,0,0,15
10194,2,1,1999,18,41,15,17,12,4,0,26,16,20
10195,1,1,1999,0,0,0,0,0,0,0,0,0,0
10195,2,1,1999,0,0,0,0,0,0,0,0,0,0
10196,1,1,1999,12,43,0,0,17,28,29,18,13,18
10197,0,1,1999,15,0,0,0,0,0,0,31,0,0
10197,1,1,1999,0,0,0,0,0,0,0,0,0,0
10198,1,1,1999,4,4,4,4,4,4,4,4,4,4
10198,2,1,1999,2,2,2,2,2,2,2,2,2,2
10198,3,1,1999,0,16,0,0,0,0,0,0,0,0
10199,1,1,1999,0,0,0,0,0,0,0,0,0,0
10200,1,1,1999,15,6,0,15,26,15,16,16,27,15
10201,1,1,1999,0,0,0,0,0,0,0,0,0,0
