YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
2003,1,10128,7,2,2,2,4,1,2,1,1,3,2000,2,2
2003,1,10129,1,2,2,2,1,1,2,4,1,3,1998,2,2
2003,1,10130,1,2,2,2,1,1,2,4,2,3,1996,2,1
2003,2,10130,2,2,2,2,1,1,2,4,2,3,1988,2,2
2003,1,10131,2,2,2,2,1,1,2,4,2,3,1994,2,2
2003,2,10131,2,2,2,2,1,1,2,4,2,3,1998,2,2
2003,1,10132,1,5,5,2,1,1,2,4,1,3,1995,2,2
2003,1,10133,1,5,5,2,1,1,2,4,2,3,1994,2,2
2003,2,10133,7,2,2,2,4,1,2,1,2,3,2002,2,2
2003,1,10134,3,2,2,2,1,1,2,4,1,3,1995,2,2
2003,1,10135,2,2,2,2,1,1,2,4,1,3,1992,2,2
2003,2,10135,1,2,2,2,1,1,2,4,2,3,1988,2,2
2003,1,10136,3,1,1,1,1,1,2,4,1,3,1979,2,2
2003,1,10137,1,5,5,2,1,1,2,4,2,3,1997,2,2
2003,2,10137,2,2,2,2,1,1,2,4,2,3,1998,2,2
2003,1,10138,1,2,2,2,1,1,2,4,2,3,1999,2,2
2003,2,10138,6,5,5,2,1,1,1,4,2,3,2000,2,2
2003,3,10138,6,2,2,2,1,1,1,4,2,3,2000,2,2
2003,1,10139,1,2,6,1,1,1,2,4,2,3,1994,2,1
2003,1,10140,3,2,2,2,1,1,2,4,2,3,1992,2,2
2003,2,10140,3,2,2,2,2,2,2,4,2,3,1993,2,2
2003,1,10141,1,2,2,2,1,1,2,4,1,3,2002,2,2
2003,1,10142,2,2,2,1,1,1,2,4,1,3,1999,2,2
2003,2,10142,1,2,2,2,1,1,2,4,2,3,1995,2,2
2003,1,10143,2,2,2,1,1,1,2,4,1,3,1991,2,2
2003,1,10144,3,3,3,1,1,1,2,4,1,3,1999,1,2
2003,1,10145,1,2,2,1,1,1,2,4,1,3,1996,2,2
2003,1,10146,2,2,2,2,2,2,2,4,1,3,1986,2,2
2003,1,10147,3,2,2,1,2,2,2,4,1,3,1994,2,2
2003,2,10147,2,2,2,2,1,1,2,4,2,3,1999,2,2
2003,1,10148,1,2,6,1,2,2,2,4,1,3,1997,2,2
2003,1,10149,2,1,1,1,1,1,1,4,2,3,1996,2,2
2003,1,10150,1,3,5,2,2,2,2,4,2,3,1992,2,2
2003,2,10150,2,2,2,2,1,1,2,4,2,3,2000,2,2
2003,1,10151,4,3,3,2,2,2,2,4,2,3,1995,2,2
2003,2,10151,6,2,2,1,1,1,1,4,1,3,1990,2,2
2003,1,10152,2,3,6,1,1,1,2,4,1,3,1973,2,2
2003,1,10153,2,2,5,2,1,1,2,4,1,3,1986,2,2
2003,2,10153,6,2,2,2,1,1,1,4,1,3,1999,2,2
2003,1,10154,1,2,2,2,1,1,2,4,1,3,1994,2,2
2003,1,10155,1,2,2,2,1,1,2,4,2,3,1998,2,2
2003,2,10155,1,2,2,2,2,2,2,4,2,3,1992,2,2
2003,1,10156,8,2,2,2,1,1,1,4,2,2,1994,2,2
2003,2,10156,1,2,2,2,1,1,2,4,2,3,1996,2,2
2003,3,10156,1,2,2,2,1,1,2,4,2,3,1994,2,2
2003,1,10157,2,2,2,1,2,2,2,4,1,3,1977,2,2
2003,1,10158,1,1,1,1,1,1,2,4,1,3,1995,2,2
2003,1,10159,1,3,3,2,1,1,2,4,2,3,2001,2,2
2003,2,10159,2,2,2,2,1,1,1,4,2,3,1992,2,2
2003,1,10160,1,5,5,2,1,1,2,4,2,3,2001,2,2
