ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10293,2000,0,0,0,0,0,0,0,0,0,0
10294,2000,0,0,0,0,0,0,0,0,0,0
10295,2000,18,18,18,18,18,18,18,18,18,18
10296,2000,29,0,35,0,18,24,37,30,26,23
10297,2000,26,26,26,26,26,26,26,26,26,26
10298,2000,0,0,6,0,0,0,6,0,0,0
10299,2000,22,3,18,18,24,25,24,18,22,24
10300,2000,0,0,0,0,0,0,0,0,0,0
10301,2000,21,21,21,21,21,21,21,21,21,21
10302,2000,17,16,6,7,0,34,28,0,7,0
10303,2000,20,20,20,20,20,20,20,20,20,20
10304,2000,15,14,7,5,28,22,21,24,28,18
10305,2000,0,0,0,0,0,0,0,0,0,0
10306,2000,0,0,0,0,0,0,0,0,0,0
10307,2000,0,0,0,0,0,0,0,0,0,0
10308,2000,0,0,0,19,0,0,0,11,0,7
10309,2000,15,15,15,15,15,15,15,15,15,15
10310,2000,22,22,22,22,22,22,22,22,22,22
10311,2000,9,9,9,9,9,9,9,9,9,9
10312,2000,6,6,6,6,6,6,6,6,6,20
10313,2000,0,11,0,0,0,0,0,0,0,0
10314,2000,30,30,30,30,30,30,30,30,30,30
10315,2000,0,0,27,0,0,2,0,0,0,0
10316,2000,0,0,0,0,0,0,0,0,0,0
10317,2000,16,16,16,16,16,16,16,16,16,16
10318,2000,11,5,18,0,0,11,0,0,0,11
10319,2000,0,0,0,0,0,0,0,0,0,0
10320,2000,0,0,29,0,0,0,18,0,0,19
10321,2000,10,12,26,19,35,3,0,14,12,9
10322,2000,0,0,0,0,0,0,0,0,0,0
10323,2000,26,26,26,26,26,26,26,26,26,26
10324,2000,0,0,0,0,0,0,0,0,0,0
10325,2000,0,0,0,0,0,0,0,0,0,0
10326,2000,0,0,0,0,0,0,0,0,0,0
10327,2000,18,0,0,0,0,0,0,0,0,0
10328,2000,19,19,19,19,19,19,19,19,19,19
10329,2000,9,0,0,15,25,19,0,11,21,0
10330,2000,0,0,10,0,23,7,11,0,17,0
10331,2000,0,0,0,0,0,0,0,0,0,0
10332,2000,16,37,16,21,10,21,4,18,19,21
10333,2000,0,0,0,0,0,0,0,0,0,0
10334,2000,29,25,25,25,25,25,25,25,32,25
10335,2000,9,9,9,9,9,9,9,9,9,9
10336,2000,10,19,23,13,23,24,32,25,25,7
10337,2000,17,17,17,17,17,17,17,17,17,17
10338,2000,0,0,0,0,0,0,0,0,0,0
10339,2000,0,0,0,0,0,0,0,0,0,0
10340,2000,0,2,0,0,0,0,0,0,0,0
10341,2000,28,0,0,0,0,0,0,18,0,0
10342,2000,0,0,0,0,0,0,0,0,0,0
10343,2000,22,22,22,22,22,22,22,22,22,22
10344,2000,0,0,0,0,0,0,0,0,0,0
10345,2000,0,0,0,0,0,0,0,15,0,0
10346,2000,0,0,0,0,0,10,0,0,0,0
10347,2000,0,0,0,0,0,0,0,0,0,0
10348,2000,0,0,0,0,0,0,0,0,0,0
10349,2000,0,0,0,0,0,0,0,0,0,0
10350,2000,0,0,0,0,0,0,0,0,0,0
10351,2000,0,0,0,0,0,0,0,0,0,0
10352,2000,11,11,11,11,11,11,11,11,11,11
10353,2000,0,0,0,0,0,0,0,0,0,0
10354,2000,0,15,0,0,0,0,0,17,0,0
10355,2000,0,6,0,0,0,0,0,28,0,0
10356,2000,18,28,8,22,18,19,36,33,0,34
10357,2000,5,22,13,7,22,15,14,11,4,6
10358,2000,16,16,16,16,16,16,16,16,16,16
10359,2000,2,2,2,2,2,2,2,2,2,2
10360,2000,0,0,0,0,0,0,0,0,0,0
10361,2000,0,0,39,6,0,0,6,0,0,0
10362,2000,0,0,0,0,0,0,0,0,0,0
10363,2000,12,10,25,15,12,8,9,0,3,19
10364,2000,16,16,16,16,16,16,16,16,16,16
10365,2000,6,6,6,6,6,6,6,6,6,6
10366,2000,0,0,0,0,0,0,0,0,0,0
10367,2000,0,0,0,0,0,0,0,0,0,0
10368,2000,14,14,14,14,14,14,14,14,14,14
10369,2000,21,24,21,22,18,31,40,32,9,34
10370,2000,0,0,0,0,0,0,0,0,0,0
10371,2000,0,0,0,0,0,0,0,0,0,0
10372,2000,18,0,15,5,17,0,7,19,14,4
10373,2000,0,0,0,0,0,0,0,0,0,0
10374,2000,0,0,0,0,0,0,0,0,0,0
10375,2000,0,0,17,0,11,0,27,29,16,21
10376,2000,24,24,24,24,24,24,24,24,24,24
10377,2000,0,0,0,0,0,0,0,0,0,0
10378,2000,0,0,0,0,0,0,0,0,0,0
10379,2000,16,16,16,16,16,16,16,16,16,16
10380,2000,0,0,0,0,0,0,0,32,0,0
10381,2000,14,0,0,0,0,0,0,20,0,19
10382,2000,28,0,0,7,37,22,0,31,36,0
10383,2000,0,0,0,0,0,0,0,0,0,16
10384,2000,0,0,0,0,0,0,0,0,0,0
10385,2000,0,0,0,0,0,0,0,0,0,0
10386,2000,0,19,0,0,0,0,0,0,0,0
10387,2000,10,21,10,22,10,48,9,22,26,10
10388,2000,15,10,16,10,24,6,19,12,9,4
10389,2000,0,0,0,0,0,0,0,0,0,0
10390,2000,12,9,9,5,16,15,9,9,9,13
10391,2000,0,0,0,0,0,0,0,0,0,0
