ST_CASE,VEH_NO,NUMOCCS,DAY,MONTH,HOUR,MINUTE,BODY_TYP,TRAV_SP,DEFORMED,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,VNUM_LAN,VSPD_LIM,ACC_TYPE,DEATHS,DR_DRINK,Year
481371,1,1,20,6,15,10,80,998,8,48,0,0,0,2,55,1,1,1,2014
481374,1,2,20,6,12,8,80,998,2,48,0,0,0,2,75,98,1,0,2014
481384,1,2,6,6,23,56,80,998,4,48,0,0,0,2,98,89,2,1,2014
481392,2,1,13,6,14,39,80,998,6,48,0,0,0,2,60,69,1,0,2014
481421,1,1,22,6,6,58,80,998,8,48,0,0,0,2,60,98,1,1,2014
481438,1,1,26,6,17,46,80,998,8,48,0,0,1,2,75,32,1,0,2014
481469,1,1,27,6,18,1,80,998,8,48,0,0,0,2,55,1,1,0,2014
481471,1,2,28,6,17,39,80,998,8,48,0,0,0,2,55,83,2,1,2014
481476,2,1,30,6,7,25,80,998,8,48,1,0,0,2,75,52,1,0,2014
481477,1,1,30,6,20,28,80,998,8,48,0,0,0,2,30,24,1,0,2014
481477,2,1,30,6,20,28,80,998,8,48,0,0,0,2,30,25,0,0,2014
481482,1,1,28,6,18,5,80,998,8,48,0,0,0,2,65,7,1,0,2014
481483,1,1,28,6,14,54,80,998,8,48,0,0,0,2,35,7,1,1,2014
481486,1,1,22,6,5,22,80,998,6,48,0,0,0,2,55,24,1,0,2014
481487,1,2,25,6,14,53,80,998,8,48,0,0,0,2,45,74,1,0,2014
481492,2,1,30,6,19,5,80,998,8,48,0,0,1,2,40,83,1,0,2014
481493,1,1,27,6,15,9,80,998,4,48,0,0,0,2,55,2,1,1,2014
481519,2,1,4,7,19,42,80,998,4,48,0,0,0,5,45,69,1,0,2014
481530,1,1,5,7,17,35,80,998,8,48,1,0,0,2,60,1,1,1,2014
481531,1,2,5,7,0,32,80,998,4,48,0,0,0,5,40,98,1,1,2014
481531,2,0,5,7,0,32,80,0,8,0,998,998,998,5,40,98,0,0,2014
481532,1,1,5,7,1,16,80,998,8,48,0,0,0,1,45,1,1,1,2014
481536,1,1,6,7,14,32,80,998,8,48,1,0,0,2,55,1,1,0,2014
481539,1,1,8,7,19,35,80,998,8,48,0,0,0,2,55,98,1,0,2014
481543,2,1,8,7,22,40,80,998,8,48,0,0,0,4,65,24,1,1,2014
481550,1,1,9,7,11,5,80,998,8,48,0,0,0,2,75,1,1,0,2014
481562,1,1,11,7,2,32,80,998,8,48,0,0,0,4,70,50,1,0,2014
481563,1,1,11,7,9,42,80,998,8,48,0,0,0,2,65,1,1,0,2014
481571,2,1,23,6,16,9,80,998,8,48,0,0,0,2,55,65,1,0,2014
481575,1,1,5,7,4,40,80,998,6,48,0,0,0,2,65,1,1,0,2014
481576,2,1,7,7,21,3,80,50,8,48,0,0,0,3,35,88,1,0,2014
481581,1,1,11,7,20,57,80,998,8,48,0,0,3,2,70,6,1,1,2014
481584,2,1,11,7,11,0,80,998,4,48,0,0,1,4,98,89,1,0,2014
481587,2,1,12,7,17,55,80,998,8,48,0,0,1,2,55,69,1,0,2014
481589,1,1,12,7,11,3,80,998,8,48,0,0,0,3,35,1,1,0,2014
481591,1,1,12,7,4,31,80,998,8,48,0,0,0,2,75,6,1,1,2014
481592,1,1,12,7,0,30,80,998,8,48,1,0,1,2,75,13,1,0,2014
481597,1,1,13,7,17,45,80,998,8,48,0,0,0,2,60,1,1,1,2014
481617,2,1,16,7,15,11,80,998,8,48,0,1,0,4,35,69,1,0,2014
481629,1,2,17,7,15,50,80,998,2,48,0,0,2,2,75,98,1,0,2014
481631,1,1,18,7,10,44,80,998,8,48,1,0,0,5,99,78,1,0,2014
481638,1,1,19,7,16,27,80,998,8,48,0,0,0,3,55,1,1,0,2014
481648,2,1,20,7,16,15,80,998,4,48,0,0,0,5,40,86,1,0,2014
481661,1,1,24,7,21,33,80,998,6,48,0,0,0,2,55,24,1,0,2014
481669,1,1,26,7,21,58,80,998,8,48,0,0,0,2,35,98,1,0,2014
481669,2,2,26,7,21,58,80,998,8,48,0,0,0,2,35,98,0,0,2014
481672,1,2,27,7,13,20,80,998,8,48,0,0,0,2,55,1,1,0,2014
481678,1,1,11,4,18,5,80,998,4,48,0,0,1,1,40,1,1,0,2014
481679,1,1,26,6,0,20,80,998,8,48,0,0,0,2,30,14,1,1,2014
481681,1,1,10,7,5,30,80,998,8,48,0,0,1,2,30,98,1,1,2014
481682,1,1,12,7,16,0,80,998,8,48,0,0,0,2,70,2,1,1,2014
481688,1,1,19,7,20,34,80,998,8,48,0,0,0,2,98,50,1,1,2014
481688,2,1,19,7,20,34,80,998,8,48,0,0,0,2,98,51,1,0,2014
481693,2,1,20,7,22,37,80,998,8,48,0,0,1,2,65,25,1,0,2014
481709,1,1,28,7,5,44,80,998,8,48,0,0,0,2,60,1,1,0,2014
481715,1,1,28,2,5,43,80,998,8,48,0,0,0,2,55,98,1,0,2014
481726,1,2,19,7,11,38,80,998,8,40,0,0,0,2,45,64,1,0,2014
481730,1,1,21,7,18,31,80,998,8,48,0,0,0,2,45,1,1,1,2014
481737,1,1,25,7,21,56,80,998,8,48,0,0,2,1,60,73,1,1,2014
481750,1,1,28,6,7,20,80,998,8,48,0,0,0,4,45,69,1,0,2014
481752,1,1,27,7,2,0,80,998,8,48,0,0,1,2,40,6,1,1,2014
481756,1,1,7,7,8,50,80,998,8,48,0,0,0,2,45,73,1,0,2014
481768,1,1,1,8,12,14,80,998,8,48,0,0,0,2,60,77,1,0,2014
481768,2,1,1,8,12,14,80,998,8,48,0,0,0,2,60,98,0,0,2014
481772,1,1,2,8,1,22,80,998,8,48,0,0,0,3,50,1,1,0,2014
481773,2,1,2,8,18,20,80,998,6,48,0,0,2,3,60,88,1,0,2014
481780,1,1,2,8,13,35,80,998,8,48,0,0,0,2,40,69,1,0,2014
481781,1,1,2,8,3,12,80,998,8,29,0,0,2,2,40,6,1,0,2014
481784,1,1,3,8,20,48,80,998,8,48,0,0,0,4,55,13,1,0,2014
481786,1,1,3,8,13,40,80,998,4,48,0,0,0,2,65,6,1,0,2014
481789,2,1,4,8,16,19,80,998,4,48,0,0,0,3,65,98,1,1,2014
481802,1,1,5,8,11,40,80,998,8,48,0,0,0,2,55,64,1,0,2014
481803,1,1,5,8,13,28,80,998,8,48,0,0,3,5,40,84,1,0,2014
481813,2,1,10,4,14,56,80,998,6,48,1,0,0,5,45,83,1,0,2014
481821,1,1,7,8,2,17,80,998,6,48,0,0,0,2,60,25,1,0,2014
481823,2,1,8,8,22,30,80,998,8,48,0,0,0,3,65,25,1,0,2014
481828,1,1,8,8,0,11,80,998,8,48,0,0,3,2,40,24,1,1,2014
481828,2,1,8,8,0,11,80,998,8,48,0,0,1,2,40,98,0,1,2014
481835,1,1,9,8,19,35,80,998,4,48,0,0,0,5,55,88,1,0,2014
481836,1,1,9,8,7,34,80,998,6,48,0,0,0,2,55,1,1,0,2014
481840,1,1,9,8,7,50,80,998,8,48,0,0,0,2,40,1,1,0,2014
481845,1,1,10,8,21,20,80,998,8,48,0,0,0,2,75,98,1,0,2014
481865,1,1,12,8,18,57,80,998,8,48,0,0,0,2,65,69,1,0,2014
481876,1,1,15,8,13,7,80,998,8,48,0,0,0,2,30,6,1,0,2014
481877,1,1,15,8,23,53,80,998,8,48,0,0,1,2,55,1,1,0,2014
