VEH_NO,NUMOCCS,BODY_TYP,TRAV_SP,DEFORMED,DEATHS,ST_CASE,DR_DRINK,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,MONTH,DAY,HOUR,MINUTE,Year
1,1,80,998,9,1,481606,1,48.0,0.0,1.0,0.0,8,2,3,22,2009
1,2,80,998,9,2,481616,1,48.0,0.0,0.0,0.0,8,4,13,45,2009
1,2,80,998,2,1,481624,1,48.0,0.0,0.0,0.0,8,6,20,5,2009
1,1,80,998,4,1,481633,1,48.0,0.0,0.0,0.0,8,8,2,7,2009
2,1,80,998,6,1,481639,1,48.0,0.0,0.0,0.0,8,9,23,55,2009
1,1,80,998,9,1,481648,0,48.0,0.0,0.0,0.0,8,11,10,42,2009
1,1,80,998,9,1,481649,0,48.0,0.0,0.0,0.0,8,11,12,39,2009
1,1,80,998,2,1,481653,1,48.0,1.0,0.0,0.0,8,14,3,20,2009
1,1,80,100,2,1,481657,1,48.0,0.0,0.0,1.0,8,15,2,30,2009
1,1,80,998,6,1,481658,1,48.0,0.0,0.0,0.0,8,15,1,33,2009
1,2,80,998,4,1,481659,0,48.0,0.0,0.0,0.0,8,15,15,5,2009
2,1,80,998,2,0,481659,0,48.0,0.0,0.0,2.0,8,15,15,5,2009
3,1,80,998,2,0,481659,0,48.0,0.0,0.0,0.0,8,15,15,5,2009
1,1,80,998,4,1,481661,0,48.0,0.0,0.0,0.0,8,15,0,35,2009
1,1,80,998,6,1,481666,1,48.0,0.0,0.0,1.0,8,18,19,47,2009
1,1,80,998,9,1,481669,0,48.0,0.0,0.0,0.0,8,19,10,22,2009
1,1,80,998,4,1,481675,0,48.0,2.0,0.0,2.0,8,21,16,15,2009
1,1,80,998,2,1,481683,1,48.0,0.0,0.0,0.0,8,23,3,6,2009
1,2,80,998,4,1,481685,1,48.0,0.0,0.0,0.0,8,24,22,15,2009
1,1,80,998,9,1,481688,1,48.0,0.0,0.0,0.0,5,7,2,30,2009
1,1,80,998,9,1,481690,0,48.0,0.0,0.0,0.0,6,6,14,30,2009
1,1,80,998,9,1,481691,0,48.0,0.0,0.0,0.0,7,12,23,15,2009
1,2,80,998,9,1,481693,0,48.0,0.0,0.0,0.0,7,18,12,23,2009
1,2,80,998,2,1,481700,0,48.0,0.0,0.0,0.0,7,25,4,11,2009
1,2,80,998,2,1,481701,0,48.0,0.0,0.0,0.0,7,26,13,20,2009
1,1,80,998,2,1,481704,0,48.0,0.0,0.0,0.0,7,29,18,54,2009
1,1,80,998,2,1,481708,1,48.0,1.0,0.0,1.0,8,4,3,50,2009
2,2,80,998,9,1,481716,1,48.0,0.0,0.0,0.0,8,9,20,56,2009
2,2,80,998,9,2,481729,0,48.0,0.0,0.0,0.0,8,16,14,35,2009
1,1,80,998,9,1,481735,1,48.0,0.0,0.0,0.0,8,21,13,43,2009
1,1,80,998,4,1,481742,1,48.0,0.0,0.0,0.0,8,22,11,30,2009
1,2,80,998,9,1,481751,0,48.0,0.0,0.0,0.0,8,25,19,1,2009
1,1,80,998,6,1,481758,1,48.0,0.0,0.0,7.0,8,27,2,0,2009
3,1,80,998,4,1,481758,1,48.0,0.0,0.0,0.0,8,27,2,0,2009
5,1,80,998,4,0,481758,1,48.0,0.0,0.0,2.0,8,27,2,0,2009
