VEH_NO,NUMOCCS,BODY_TYP,TRAV_SP,DEFORMED,DEATHS,ST_CASE,DR_DRINK,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,MONTH,Year
1,1,80,98,9,1,481804,0,48.0,3.0,0.0,0.0,8,2003
2,1,80,98,9,1,481818,0,48.0,0.0,0.0,0.0,8,2003
1,1,80,98,6,1,481820,0,48.0,0.0,0.0,0.0,8,2003
1,1,80,98,9,1,481831,0,48.0,0.0,0.0,2.0,8,2003
2,1,80,98,9,1,481831,0,48.0,0.0,0.0,0.0,8,2003
3,1,80,98,6,1,481846,0,48.0,0.0,0.0,0.0,8,2003
1,1,80,98,4,1,481866,0,48.0,3.0,0.0,11.0,8,2003
1,1,80,98,6,1,481870,0,48.0,1.0,1.0,1.0,8,2003
2,1,80,98,2,1,481888,0,48.0,0.0,0.0,0.0,7,2003
1,1,80,98,9,1,481889,0,48.0,0.0,0.0,0.0,8,2003
1,1,80,98,9,1,481897,1,48.0,0.0,0.0,0.0,4,2003
1,1,80,98,9,1,481902,0,48.0,1.0,0.0,3.0,5,2003
1,1,80,98,9,1,481908,0,48.0,1.0,0.0,1.0,6,2003
2,1,80,98,6,1,481911,0,48.0,0.0,0.0,0.0,7,2003
2,2,80,0,9,1,481921,0,48.0,0.0,0.0,0.0,7,2003
1,2,80,98,9,2,481922,0,48.0,1.0,0.0,0.0,7,2003
1,1,80,98,6,1,481927,0,48.0,1.0,0.0,2.0,8,2003
2,1,80,98,6,0,481927,0,48.0,1.0,0.0,1.0,8,2003
1,1,80,98,9,1,481938,0,48.0,0.0,0.0,1.0,8,2003
1,2,80,98,6,1,481941,0,48.0,1.0,0.0,0.0,8,2003
1,1,80,98,6,1,481949,1,48.0,0.0,0.0,1.0,8,2003
1,1,80,86,4,1,481955,0,48.0,0.0,0.0,3.0,8,2003
1,1,80,98,6,1,481974,0,48.0,0.0,0.0,0.0,8,2003
2,1,80,98,4,1,481976,0,48.0,0.0,0.0,0.0,8,2003
2,1,80,98,4,1,481989,0,48.0,0.0,0.0,0.0,8,2003
2,1,80,98,9,1,481995,0,48.0,0.0,0.0,0.0,9,2003
1,1,80,72,4,1,482006,1,48.0,0.0,0.0,0.0,9,2003
1,1,80,98,6,0,482007,0,48.0,0.0,0.0,0.0,9,2003
1,1,80,98,2,1,482012,1,48.0,0.0,0.0,0.0,9,2003
2,1,80,98,4,1,482015,0,97.0,99.0,99.0,99.0,9,2003
3,1,80,98,9,0,482015,0,97.0,99.0,99.0,99.0,9,2003
2,1,80,98,6,1,482021,0,48.0,0.0,0.0,1.0,9,2003
1,2,80,98,2,1,482034,0,48.0,0.0,0.0,2.0,9,2003
1,2,80,98,9,1,482037,0,48.0,0.0,0.0,0.0,9,2003
2,1,80,98,9,1,482043,0,48.0,0.0,0.0,3.0,9,2003
1,1,80,98,9,1,482063,1,48.0,1.0,1.0,2.0,9,2003
1,1,80,98,9,1,482074,1,48.0,0.0,0.0,0.0,9,2003
1,1,80,98,6,1,482076,1,48.0,0.0,0.0,0.0,9,2003
1,1,80,98,9,1,482091,0,48.0,0.0,0.0,0.0,9,2003
2,1,80,98,4,1,482092,0,48.0,1.0,1.0,0.0,9,2003
1,1,80,98,9,1,482100,0,48.0,0.0,0.0,0.0,9,2003
1,1,80,98,6,1,482121,1,48.0,0.0,0.0,2.0,9,2003
3,1,80,0,2,1,482122,0,48.0,0.0,0.0,0.0,9,2003
1,1,80,98,9,1,482129,0,48.0,1.0,0.0,0.0,9,2003
1,1,80,98,4,1,482134,0,48.0,0.0,0.0,1.0,9,2003
1,1,80,98,9,1,482135,0,48.0,0.0,0.0,0.0,9,2003
2,1,80,98,9,0,482135,0,48.0,1.0,0.0,0.0,9,2003
1,2,80,98,9,1,482146,0,22.0,0.0,0.0,0.0,9,2003
1,1,80,98,9,1,482154,0,48.0,0.0,0.0,0.0,9,2003
1,1,80,85,4,1,482159,1,48.0,0.0,0.0,0.0,9,2003
2,1,80,98,6,1,482160,0,48.0,0.0,0.0,2.0,9,2003
3,1,80,98,9,1,482162,0,48.0,0.0,0.0,0.0,9,2003
1,1,80,98,2,1,482206,1,48.0,0.0,0.0,0.0,8,2003
2,2,80,98,9,1,482211,1,48.0,0.0,0.0,0.0,9,2003
1,1,80,98,9,1,482213,0,48.0,1.0,0.0,0.0,9,2003
1,1,80,47,4,1,482218,0,48.0,0.0,0.0,1.0,9,2003
1,1,80,98,9,1,482220,1,40.0,1.0,0.0,0.0,9,2003
1,1,80,98,9,1,482230,0,48.0,0.0,0.0,0.0,9,2003
1,1,80,98,6,1,482253,0,48.0,0.0,0.0,0.0,9,2003
1,1,80,98,4,1,482274,0,48.0,0.0,0.0,1.0,9,2003
2,1,80,98,4,1,482275,0,48.0,0.0,0.0,1.0,9,2003
2,1,80,98,6,1,482277,0,48.0,0.0,0.0,0.0,10,2003
1,2,80,98,4,1,482285,1,48.0,0.0,1.0,1.0,10,2003
1,1,80,98,9,1,482289,0,48.0,0.0,0.0,0.0,10,2003
1,1,80,98,2,1,482313,1,48.0,0.0,0.0,0.0,10,2003
1,1,80,98,4,1,482331,0,48.0,1.0,0.0,0.0,10,2003
