STATE,ST_CASE,VEH_NO,PVE_FORMS,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS,PTRLR1VIN,PTRLR2VIN,PTRLR3VIN
6,60412,2,1,0,24,2,6,24,8,0,2,0,6,6,49,40,49040,4,2014,4T4BF1FK6ER3,4,T,4,B,F,1,F,K,6,E,R,3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,11,4,5,12,0,0,0,0,777777777777,777777777777,777777777777
6,60422,3,2,0,15,3,6,45,12,6,2,0,6,6,7,482,7482,34,2004,1D7HA18D14S7,1,D,7,H,A,1,8,D,1,4,S,7,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,10,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
6,60423,2,1,0,16,3,23,19,14,0,2,0,6,6,12,13,12013,4,1997,1FALP13P8VW3,1,F,A,L,P,1,3,P,8,V,W,3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,4,8,12,0,0,0,0,777777777777,777777777777,777777777777
6,60458,3,2,0,8,4,15,40,12,6,2,0,6,6,37,39,37039,5,2016,3HGGK5H86GM7,3,H,G,G,K,5,H,8,6,G,M,7,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
6,60466,3,2,0,8,4,21,0,12,6,2,0,6,6,49,40,49040,4,2010,4T4BF3EK3AR0,4,T,4,B,F,3,E,K,3,A,R,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,61,4,5,12,0,0,0,0,777777777777,777777777777,777777777777
6,60518,3,2,0,27,4,20,30,12,2,2,0,6,6,55,35,55035,4,2014,5NPDH4AEXEH4,5,N,P,D,H,4,A,E,X,E,H,4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,4,3,12,0,0,0,0,777777777777,777777777777,777777777777
6,60522,2,1,0,20,4,15,0,14,0,2,0,6,6,32,48,32048,4,2016,WAUA7GFF6G10,W,A,U,A,7,G,F,F,6,G,1,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,82,6,2,12,0,0,0,0,777777777777,777777777777,777777777777
6,60522,3,1,0,20,4,15,0,14,0,2,0,6,6,49,40,49040,4,2007,4T1BK46K07U5,4,T,1,B,K,4,6,K,0,7,U,5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0,777777777777,777777777777,777777777777
6,60552,2,1,0,4,2,22,13,24,0,2,0,6,6,12,3,12003,1,2007,1ZVFT84N3752,1,Z,V,F,T,8,4,N,3,7,5,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,81,4,3,1,0,0,0,0,777777777777,777777777777,777777777777
6,60591,3,2,0,14,3,8,15,12,2,2,0,37,6,55,33,55033,4,2007,5NPEU46F77H2,5,N,P,E,U,4,6,F,7,7,H,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,4,5,12,0,0,0,0,777777777777,777777777777,777777777777
