ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10184,1,1,0,0,0,0,0,0,0,0,0,0
10185,1,1,0,0,0,0,0,0,0,0,0,0
10185,2,1,0,0,0,0,0,0,0,0,0,0
10186,1,1,0,0,0,0,0,0,0,0,0,0
10186,2,1,0,0,0,0,0,0,0,0,0,0
10187,1,1,29,29,29,29,29,29,29,29,29,29
10188,1,1,0,0,0,0,0,0,0,0,0,0
10188,2,1,0,0,0,17,0,0,0,0,0,10
10189,1,1,17,17,25,12,18,17,13,12,4,22
10190,1,1,0,0,0,0,0,0,0,0,0,0
10190,2,1,0,0,0,0,0,0,0,0,0,0
10191,1,1,0,0,0,0,0,0,0,0,0,0
10191,2,1,0,0,0,0,0,0,0,0,0,0
10192,1,1,0,42,0,0,18,13,0,8,0,0
10192,2,1,0,0,0,0,0,0,0,0,0,0
10193,1,1,0,0,0,0,0,0,0,0,0,0
10193,2,1,0,0,0,0,0,0,0,0,0,0
10194,1,1,0,0,0,0,0,0,0,0,0,0
10195,1,1,0,0,0,0,0,0,0,0,8,0
10195,2,1,0,0,0,0,0,0,0,6,0,21
10196,1,1,0,0,0,0,0,0,0,0,0,0
10197,1,1,0,0,0,0,0,0,0,0,0,0
10198,1,1,0,9,31,0,0,14,0,0,0,17
10199,1,1,35,35,35,35,35,35,35,35,35,35
10199,2,1,0,0,0,0,0,11,0,0,0,0
10200,1,1,0,0,0,0,0,0,0,0,0,0
10201,1,1,0,0,0,0,0,0,0,0,0,0
10201,2,1,4,4,4,4,4,4,4,4,4,4
10202,1,1,0,0,0,0,0,0,0,12,0,22
10203,1,1,9,9,9,9,9,9,9,9,9,9
10203,2,1,0,0,0,0,0,0,0,0,0,0
10204,1,1,0,0,0,0,0,0,0,0,0,0
10205,1,1,0,0,0,0,0,0,0,0,0,0
10205,2,1,0,0,0,0,0,0,0,0,0,0
10206,1,1,0,0,0,0,0,0,0,0,0,0
10206,2,1,0,0,0,0,0,0,0,0,0,0
10207,1,1,0,0,0,4,0,0,0,23,0,0
10208,1,1,0,0,0,22,11,0,0,0,0,0
10209,1,1,24,24,24,24,24,24,24,24,24,24
10209,2,1,0,0,0,0,0,0,0,0,0,0
10210,1,1,0,0,0,0,0,0,0,0,0,0
10210,2,1,0,0,0,0,0,0,0,0,16,0
10211,1,1,0,0,0,0,0,0,0,0,0,0
10211,2,1,0,0,0,0,0,0,0,0,0,0
10212,1,1,0,0,0,0,0,0,0,0,0,0
10212,2,1,0,0,0,0,0,0,0,0,0,0
10213,1,1,0,0,0,0,0,0,0,0,0,0
10214,1,1,20,20,20,20,20,20,20,20,20,20
10215,1,1,0,0,0,0,0,0,0,0,0,0
10215,2,1,0,0,0,0,0,0,0,0,0,0
10216,1,1,0,0,0,0,0,0,0,0,0,0
10216,2,1,0,0,0,0,0,0,0,0,0,0
10217,1,1,0,0,0,0,0,0,0,0,0,0
10217,2,1,0,0,0,0,0,0,0,0,0,0
10218,1,1,30,30,30,30,30,30,30,30,30,30
10219,1,1,0,0,0,0,0,0,0,0,0,0
10220,1,1,0,0,0,0,0,0,0,0,0,0
10221,1,1,0,0,0,0,0,0,0,0,0,0
10221,2,1,0,0,0,0,0,0,0,0,0,0
10222,1,1,0,0,0,0,0,0,0,0,0,0
10223,1,1,0,0,0,0,0,19,0,0,0,0
10223,2,1,0,0,0,0,0,0,0,0,0,0
10224,1,1,0,0,0,0,0,0,0,0,0,0
10224,2,1,0,0,0,0,0,0,0,0,0,0
10225,1,1,0,0,0,0,0,0,0,0,0,0
10225,2,1,0,0,0,0,0,0,0,0,0,0
10225,3,1,0,0,0,0,0,0,0,0,0,0
10226,1,1,0,0,0,0,0,0,0,0,0,0
10226,2,1,0,0,0,0,0,0,0,0,0,0
10227,1,1,0,0,0,0,0,0,0,0,0,0
10227,2,1,0,0,0,0,0,0,0,0,0,0
10227,3,1,0,0,0,0,0,0,0,0,0,0
10228,1,1,0,12,0,0,0,0,0,0,0,0
10229,0,1,13,13,13,13,13,13,13,13,13,13
10229,1,1,5,0,0,0,0,0,0,19,0,0
10230,0,1,0,0,0,0,0,0,0,0,0,0
10230,0,2,0,0,0,0,11,0,0,0,16,40
10230,1,1,0,0,0,0,0,0,0,0,0,0
10231,1,1,27,13,23,8,0,21,13,14,11,14
10232,1,1,14,14,14,14,14,14,14,14,14,14
10232,2,1,0,0,0,0,0,0,0,0,0,0
10233,1,1,25,25,25,25,25,25,25,25,25,25
10234,0,1,0,0,0,0,0,0,0,0,0,0
10234,1,1,0,0,0,0,0,0,0,0,0,0
10235,1,1,0,0,0,0,0,0,0,0,0,0
10236,1,1,0,0,0,0,0,0,0,0,0,0
10237,1,1,17,17,17,17,17,17,17,17,17,17
10238,1,1,0,0,20,0,0,0,0,0,0,0
10239,1,1,0,0,0,0,0,0,0,0,0,0
10240,1,1,9,9,9,9,9,9,9,9,9,9
10241,0,1,0,0,0,0,0,0,0,0,0,0
10241,1,1,0,0,0,0,0,0,0,0,0,0
10242,1,1,0,0,0,0,0,0,0,0,0,0
10243,1,1,1,1,1,1,1,1,1,1,1,1
10243,2,1,0,0,0,0,0,0,0,0,0,0
10244,1,1,0,0,0,0,0,0,0,0,0,0
10245,1,1,15,0,0,0,0,0,0,0,0,0
10246,1,1,0,0,0,0,0,0,20,0,18,0
10246,2,1,0,0,0,0,0,0,0,0,0,0
10247,1,1,0,0,0,0,0,0,0,0,0,0
10247,2,1,0,0,0,0,0,0,0,0,0,0
10248,1,1,0,0,0,0,0,0,0,0,0,0
10249,1,1,0,0,0,0,0,0,0,0,0,0
10250,1,1,16,16,16,16,16,16,16,16,16,16
10250,2,1,4,4,4,4,4,4,4,4,4,4
10251,1,1,0,0,0,0,0,0,0,0,0,0
10252,1,1,0,0,0,0,0,0,0,0,0,0
10253,1,1,0,0,0,0,0,0,0,0,0,0
10253,2,1,0,0,0,0,0,0,0,0,0,0
10254,1,1,0,0,3,0,2,0,0,0,0,0
10254,2,1,0,0,0,0,0,0,0,0,0,0
10255,1,1,0,0,0,0,0,0,0,0,0,0
10255,2,1,0,0,16,0,0,0,0,0,0,0
10256,1,1,26,26,26,26,26,26,26,26,26,26
10257,1,1,27,27,27,27,27,27,27,27,27,27
10258,1,1,0,0,0,0,0,0,0,0,0,0
10258,2,1,0,0,0,0,0,0,0,0,0,0
10259,1,1,0,0,0,0,6,13,0,0,0,22
10260,1,1,0,0,0,0,0,0,0,0,0,0
10261,1,1,24,24,24,24,24,24,24,24,24,24
10262,0,1,16,12,33,18,25,15,23,39,38,0
10262,1,1,0,0,0,0,0,0,0,0,0,0
10263,0,1,17,17,17,17,17,17,17,17,17,17
10263,1,1,0,0,0,0,0,0,0,0,0,0
10264,1,1,0,0,0,0,0,0,0,0,0,0
10264,2,1,0,0,0,0,0,0,0,0,0,0
10264,3,1,0,0,0,0,0,0,0,0,0,0
10264,4,1,0,0,0,0,0,0,0,0,0,0
10264,5,1,0,0,0,0,0,0,0,0,0,0
10265,1,1,0,0,0,0,0,0,0,0,0,0
10265,2,1,0,31,2,13,0,0,2,0,0,0
10266,1,1,0,0,0,0,0,0,0,0,0,0
10266,2,1,0,0,0,0,0,0,0,0,0,0
10267,1,1,20,20,20,20,20,20,20,20,20,20
10268,0,1,12,12,12,12,12,12,12,12,12,12
10268,1,1,0,0,0,0,0,0,0,0,0,0
10269,1,1,0,0,0,0,0,0,0,0,0,0
10269,2,1,0,0,0,0,0,0,0,0,0,0
10271,1,1,0,0,0,0,0,0,0,0,0,0
10271,2,1,0,0,0,0,0,0,0,0,0,0
10272,1,1,0,0,0,0,0,0,0,0,0,0
10272,2,1,0,0,0,0,0,0,0,0,0,0
10273,1,1,0,0,0,0,0,0,0,0,0,0
10273,2,1,0,0,0,0,0,0,0,0,0,0
10274,0,1,0,0,0,0,0,0,0,0,0,0
10274,1,1,0,0,0,0,0,0,0,0,0,0
10275,0,1,33,33,33,33,33,33,33,33,33,33
10275,1,1,5,17,7,0,13,6,25,0,0,0
10276,1,1,8,8,8,8,8,8,8,8,8,8
10277,0,1,0,0,0,0,38,0,28,0,0,0
10277,1,1,0,0,21,0,0,0,0,0,0,0
10278,1,1,0,0,0,0,0,0,0,0,0,0
10279,1,1,0,0,0,0,0,0,0,0,0,0
10280,0,1,13,13,13,13,13,13,13,13,13,13
10280,1,1,0,0,0,0,0,0,0,0,0,0
10281,1,1,24,24,24,24,24,24,24,24,24,24
10281,2,1,0,0,0,0,0,0,0,0,0,0
10282,1,1,0,0,0,0,0,0,0,0,0,0
10282,2,1,0,0,0,0,0,0,0,0,0,0
10283,0,1,0,0,0,0,0,0,0,0,0,0
10283,1,1,0,0,0,0,0,0,0,0,0,0
10284,0,1,0,0,0,0,0,0,0,0,0,0
10284,1,1,0,0,0,0,0,0,0,0,0,0
10285,1,1,0,0,0,0,0,0,0,0,0,0
10286,1,1,0,0,11,0,0,0,12,19,20,11
10287,1,1,0,0,0,0,0,0,0,0,0,0
10287,2,1,12,0,0,0,0,0,23,0,11,9
10287,3,1,0,0,0,8,0,0,0,0,0,0
10288,1,1,0,0,0,0,0,0,0,0,0,0
