YEAR,STATE,ST_CASE,COUNTY,FATALS,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_RD,A_HR,A_DIST,A_DROWSY,BIA,SPJ_INDIAN,INDIAN_RES
2010,1,10063,55,1,1,4,1,2,1,1,3,1,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2010,1,10064,11,2,1,4,1,2,4,2,4,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10065,71,1,1,4,1,2,1,2,5,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,0,0,0
2010,1,10066,97,1,1,4,1,2,1,2,3,2,4,1,1,2,1,2,1,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10067,83,1,1,4,2,2,1,2,2,2,3,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10068,35,1,1,4,1,2,1,2,3,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2010,1,10069,5,1,1,4,2,2,4,2,4,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,0,0,0
2010,1,10070,73,1,1,4,2,1,3,2,1,2,1,1,1,3,2,2,2,2,2,1,2,3,2,2,2,2,2,1,1,1,2,1,2,0,0,0
2010,1,10071,85,1,1,4,1,2,4,2,5,2,1,2,2,1,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10072,21,1,1,4,2,2,1,2,4,2,2,1,1,3,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2010,1,10073,39,1,1,4,2,2,1,1,2,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0
2010,1,10074,125,1,1,4,1,2,1,2,4,2,4,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,0,0,0
2010,1,10075,97,1,1,4,2,2,1,2,5,2,5,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10076,97,1,1,4,2,2,1,2,3,2,3,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10077,63,1,1,4,1,1,4,2,1,2,1,2,2,1,2,2,1,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10078,115,1,1,4,1,2,4,2,5,2,1,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10079,117,1,1,4,2,2,4,2,6,2,1,1,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10080,33,1,1,4,1,2,1,2,3,2,2,1,1,2,2,2,2,2,2,2,2,3,2,2,1,1,2,2,1,2,2,1,2,0,0,0
2010,1,10081,73,1,1,4,2,1,3,2,1,2,1,1,2,1,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10082,73,1,1,4,2,1,4,2,1,2,1,1,1,1,2,2,1,2,2,2,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
2010,1,10083,127,1,1,4,1,2,1,2,3,2,1,2,2,1,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,0,0,0
2010,1,10084,55,1,1,4,1,2,4,2,5,2,1,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,2,2,1,1,2,2,2,0,0,0
2010,1,10085,65,3,1,4,1,2,4,2,4,2,1,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10086,93,1,1,4,1,2,4,2,5,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,2,0,0,0
2010,1,10087,71,1,1,4,1,2,1,1,3,1,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2010,1,10088,49,1,1,4,1,2,4,2,6,2,1,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10089,73,1,1,4,1,2,1,2,5,2,3,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,2,2,1,0,0,0
2010,1,10090,121,1,1,4,1,2,4,2,4,2,1,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10091,89,1,1,4,2,2,1,2,6,2,4,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
2010,1,10092,83,1,1,4,1,2,1,2,3,2,4,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,0,0,0
2010,1,10093,115,1,1,4,1,2,1,2,5,2,3,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10094,85,1,1,4,1,1,1,2,1,2,3,2,2,2,1,2,2,2,2,2,2,3,1,1,1,1,2,2,1,1,2,1,2,0,0,0
2010,1,10095,25,1,1,4,1,2,1,2,3,2,1,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,2,2,1,2,1,2,2,0,0,0
2010,1,10096,113,1,1,4,1,2,4,2,6,2,1,1,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10097,3,1,1,4,2,1,1,2,1,2,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2010,1,10098,115,1,1,4,2,2,4,2,4,2,1,2,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,1,0,0,0
2010,1,10099,125,1,1,4,1,2,4,2,5,2,1,2,2,1,2,2,1,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10100,73,1,1,4,2,2,1,1,5,1,4,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,0,0,0
2010,1,10101,103,1,1,4,1,2,4,2,3,2,1,2,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,0,0,0
2010,1,10102,9,1,1,4,1,2,1,1,4,1,2,1,1,3,2,2,2,2,2,1,2,3,2,2,2,2,2,1,1,2,2,1,2,0,0,0
2010,1,10103,3,1,1,4,1,2,4,2,5,2,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0
2010,1,10104,81,1,1,4,1,2,1,1,3,1,4,1,1,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2010,1,10105,111,1,1,4,1,2,1,2,4,2,6,1,1,3,1,2,1,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
2010,1,10106,103,1,1,4,2,2,1,2,6,2,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
2010,1,10107,19,1,1,4,2,2,1,2,4,2,1,2,1,1,2,2,2,1,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
