STATE,ST_CASE,VEH_NO,PER_NO,MSAFEQMT
6,60899,0,1,8
6,60904,0,1,8
6,60910,0,1,8
6,60915,0,1,8
6,60917,0,1,8
6,60918,0,1,8
6,60919,0,1,8
6,60921,0,1,8
6,60924,0,1,8
6,60926,0,1,1
6,60927,0,1,8
6,60929,0,1,8
6,60972,0,1,1
6,60980,0,1,8
6,60984,0,1,8
6,60987,0,1,8
6,60988,0,1,8
6,60994,0,1,1
6,60995,0,1,8
6,60996,0,1,8
6,60997,0,1,8
6,60998,0,1,8
6,60999,0,1,1
6,61000,0,1,8
6,61049,0,1,8
6,61057,0,1,1
6,61060,0,1,1
6,61064,0,1,1
6,61069,0,1,8
6,61070,0,1,8
6,61073,0,1,8
6,61077,0,1,1
6,61078,0,1,8
6,61084,0,1,1
6,61085,0,1,1
6,61086,0,1,8
6,61087,0,1,8
6,61087,0,2,8
6,61087,0,3,8
6,61087,0,4,8
6,61087,0,5,8
6,61087,0,6,8
6,61087,0,7,8
6,61087,0,8,8
6,61088,0,1,8
6,61089,0,1,8
6,61092,0,1,8
6,61098,0,1,8
6,61099,0,1,8
6,61101,0,1,8
6,61104,0,1,8
6,61105,0,1,8
6,61106,0,1,8
6,61114,0,1,8
6,61115,0,1,8
6,61115,0,2,8
6,61139,0,1,8
6,61140,0,1,8
6,61141,0,1,8
6,61142,0,1,8
6,61146,0,1,8
6,61147,0,1,8
6,61148,0,1,1
6,61151,0,1,1
6,61155,0,1,8
6,61155,0,2,8
6,61157,0,1,8
6,61158,0,1,1
6,61260,0,1,8
6,61261,0,1,8
6,61262,0,1,8
6,61263,0,1,8
6,61264,0,1,8
6,61266,0,1,8
6,61267,0,1,1
6,61268,0,1,2
6,61272,0,1,8
6,61273,0,1,8
6,61274,0,1,8
6,61278,0,1,8
6,61279,0,1,1
6,61281,0,1,1
6,61282,0,1,3
6,61284,0,1,8
6,61287,0,1,8
6,61288,0,1,8
6,61290,0,1,2
6,61300,0,1,8
6,61301,0,1,8
6,61303,0,1,8
6,61308,0,1,8
6,61309,0,1,8
6,61310,0,1,8
6,61312,0,1,8
6,61312,0,2,8
6,61313,0,1,8
6,61316,0,1,8
6,61318,0,1,8
6,61319,0,1,8
6,61322,0,1,8
6,61327,0,1,8
6,61329,0,1,8
6,61330,0,1,8
6,61330,0,2,8
6,61331,0,1,1
6,61332,0,1,8
6,61336,0,1,8
6,61337,0,1,8
6,61338,0,1,8
6,61339,0,1,8
6,61340,0,1,8
6,61342,0,1,8
6,61344,0,1,8
6,61346,0,1,1
6,61347,0,1,8
6,61348,0,1,1
6,61350,0,1,8
6,61352,0,1,8
6,61354,0,1,8
6,61356,0,1,8
6,61357,0,1,1
6,61360,0,1,8
6,61363,0,1,8
6,61365,0,1,1
6,61366,0,1,1
6,61368,0,1,8
6,61373,0,1,2
6,61373,0,2,2
6,61375,0,1,8
6,61376,0,1,8
6,61377,0,1,8
6,61381,0,1,8
6,61383,0,1,8
6,61385,0,1,8
6,61386,0,1,8
6,61387,0,1,8
6,61389,0,1,8
6,61390,0,1,1
6,61392,0,1,8
6,61393,0,1,1
6,61394,0,1,1
6,61397,0,1,8
6,61398,0,1,8
6,61399,0,1,8
6,61401,0,1,8
6,61404,0,1,8
6,61406,0,1,8
6,61408,0,1,8
6,61409,0,1,1
6,61413,0,1,8
6,61414,0,1,2
6,61422,0,1,1
6,61424,0,1,1
6,61425,0,1,8
6,61426,0,1,8
6,61427,0,1,8
6,61428,0,1,8
6,61429,0,1,8
6,61482,0,1,1
6,61484,0,1,1
6,61485,0,1,1
6,61485,0,2,8
6,61488,0,1,8
6,61489,0,1,1
6,61491,0,1,2
6,61494,0,1,8
6,61495,0,1,1
6,61496,0,1,8
6,61497,0,1,8
6,61498,0,1,1
6,61499,0,1,9
6,61503,0,1,8
6,61505,0,1,8
6,61506,0,1,8
6,61508,0,1,8
6,61509,0,1,8
6,61510,0,1,8
6,61510,0,2,8
6,61511,0,1,8
6,61564,0,1,1
6,61564,0,2,8
6,61565,0,1,8
6,61567,0,1,8
6,61568,0,1,1
6,61569,0,1,1
6,61570,0,1,8
6,61571,0,1,8
6,61574,0,1,8
6,61576,0,1,8
6,61577,0,1,8
6,61577,0,2,8
6,61577,0,3,8
6,61578,0,1,1
6,61580,0,1,1
6,61581,0,1,8
6,61582,0,1,8
6,61584,0,1,8
6,61587,0,1,8
6,61588,0,1,8
6,61589,0,1,8
6,61590,0,1,8
6,61591,0,1,8
6,61592,0,1,8
6,61593,0,1,8
6,61594,0,1,8
6,61596,0,1,1
6,61597,0,1,8
6,61598,0,1,8
6,61599,0,1,8
6,61600,0,1,8
6,61600,0,2,8
6,61607,0,1,8
6,61608,0,1,1
6,61610,0,1,2
6,61611,0,1,1
6,61611,0,2,8
6,61612,0,1,8
6,61613,0,1,8
6,61619,0,1,8
6,61620,0,1,8
6,61621,0,1,8
6,61625,0,1,8
6,61626,0,1,8
6,61630,0,1,8
6,61631,0,1,8
6,61632,0,1,8
6,61634,0,1,1
6,61635,0,1,1
6,61636,0,1,8
6,61637,0,1,1
6,61638,0,1,1
6,61639,0,1,8
6,61642,0,1,1
6,61642,0,2,1
6,61642,0,3,1
6,61643,0,1,8
6,61644,0,1,8
6,61645,0,1,8
6,61646,0,1,8
6,61648,0,1,8
6,61648,0,2,8
6,61670,0,1,8
6,61671,0,1,8
6,61673,0,1,8
6,61674,0,1,8
6,61677,0,1,8
6,61678,0,1,8
6,61679,0,1,8
6,61680,0,1,8
6,61681,0,1,8
6,61682,0,1,8
6,61683,0,1,8
6,61684,0,1,8
6,61685,0,1,1
6,61686,0,1,8
6,61687,0,1,8
6,61689,0,1,8
6,61690,0,1,8
6,61692,0,1,8
6,61694,0,1,8
6,61695,0,1,8
6,61696,0,1,8
6,61697,0,1,8
6,61698,0,1,8
6,61700,0,1,8
6,61701,0,1,8
6,61702,0,1,8
6,61703,0,1,8
6,61704,0,1,8
6,61705,0,1,1
6,61706,0,1,8
6,61707,0,1,8
6,61708,0,1,1
6,61711,0,1,1
6,61712,0,1,1
6,61713,0,1,8
6,61714,0,1,1
6,61715,0,1,1
6,61716,0,1,8
6,61717,0,1,8
6,61718,0,1,8
6,61719,0,1,8
6,61720,0,1,8
6,61722,0,1,8
6,61723,0,1,8
6,61724,0,1,8
6,61725,0,1,8
6,61726,0,1,8
6,61727,0,1,8
6,61728,0,1,8
6,61729,0,1,2
6,61730,0,1,8
6,61731,0,1,8
6,61814,0,1,1
6,61814,0,2,1
6,61823,0,1,9
6,61857,0,1,1
6,61858,0,1,1
6,61859,0,1,8
6,61860,0,1,8
6,61861,0,1,8
6,61862,0,1,8
6,61863,0,1,8
6,61864,0,1,8
6,61868,0,1,8
6,61872,0,1,8
6,61873,0,1,8
6,61874,0,1,8
6,61875,0,1,8
6,61877,0,1,8
6,61879,0,1,8
6,61880,0,1,1
6,61886,0,1,8
6,61886,0,2,8
6,61887,0,1,8
6,61888,0,1,8
6,61889,0,1,8
6,61891,0,1,8
6,61892,0,1,8
6,61893,0,1,8
6,61894,0,1,8
6,61895,0,1,8
6,61896,0,1,8
6,61898,0,1,1
6,61899,0,1,2
6,61899,0,1,5
6,61900,0,1,8
