ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10367,0,0,0,0,0,0,0,0,0,0
10368,26,26,26,26,26,26,26,26,26,26
10369,0,0,0,0,0,0,0,0,0,0
10370,18,18,18,18,18,18,18,18,18,18
10371,0,0,0,0,0,0,0,0,0,0
10372,14,14,14,14,14,14,14,14,14,14
10373,0,0,0,0,0,0,0,0,0,0
10374,0,0,0,0,7,0,0,0,0,0
10375,14,14,29,21,36,16,18,25,22,5
10376,0,0,0,0,0,0,0,0,0,0
10377,0,0,0,0,0,0,0,0,0,0
10378,0,0,0,0,0,0,0,0,0,0
10379,9,9,9,9,9,9,9,9,9,9
10380,0,0,10,13,16,0,0,0,0,15
10381,0,0,0,0,0,0,10,0,0,0
10382,0,14,0,8,27,12,15,15,9,0
10383,13,31,27,12,0,3,22,21,14,0
10384,10,0,0,17,12,0,0,25,0,0
10385,23,13,18,13,18,14,21,17,17,21
10386,20,20,20,20,20,20,20,20,20,20
10387,0,0,0,0,0,0,0,0,0,0
10388,15,15,15,15,15,15,15,15,15,15
10389,0,0,10,0,0,0,0,0,0,0
10391,0,0,0,0,0,12,0,0,0,0
10392,0,10,0,0,0,0,0,0,0,7
10393,18,18,18,18,18,18,18,18,18,18
10394,0,0,0,0,0,0,0,0,0,0
10395,0,0,0,0,0,0,0,0,0,0
10396,20,20,20,20,20,20,20,20,20,20
10397,22,22,22,22,22,22,22,22,22,22
10398,0,0,0,0,0,0,0,26,0,0
10399,22,22,22,22,22,22,22,22,22,22
10400,38,24,10,9,24,11,25,18,13,28
10401,17,17,17,17,17,17,17,17,17,17
10402,0,0,0,0,0,0,0,0,0,0
10403,0,0,0,0,0,0,0,0,0,0
10404,0,0,0,0,0,0,0,0,0,0
10405,25,25,25,25,25,25,25,25,25,25
10406,0,0,0,0,0,0,0,0,0,0
10407,0,0,0,0,0,0,8,0,0,0
10408,0,0,0,0,0,0,0,0,0,13
10409,14,14,14,14,14,14,14,14,14,14
10410,0,0,0,0,0,0,0,5,0,15
10411,0,0,0,0,0,0,0,0,0,0
10412,0,0,0,0,0,0,0,0,0,0
10413,0,0,0,0,0,0,0,0,0,0
10414,0,0,0,0,0,0,0,0,0,0
10415,0,0,0,0,0,0,0,0,0,0
10416,0,0,0,0,0,0,25,19,28,0
10417,0,0,0,0,0,0,0,0,0,0
10418,0,0,0,0,0,0,0,0,0,0
10419,0,0,0,0,0,0,0,0,0,0
10420,0,0,0,0,0,0,0,0,0,0
10421,0,0,0,0,0,0,0,0,0,0
10422,5,0,0,18,15,0,14,17,13,10
10423,0,0,30,0,0,0,0,0,0,0
