STATE,ST_CASE,VEH_NO,PVE_Forms,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PVINTYPE,PVINMAKE,PVINA_MOD,PVIN_BT,PVINMODYR,PVIN_LNGT,PVIN_WGT,PWGTCD_TR,PWHLBS_LG,PWHLBS_SH,PSER_TR,PFUECODE,PMCYCL_DS,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PIMPACT2,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS
6,60035,3,2,0,9,1,4,40,12,2,2,0,6,6,7,461,7461,21,2001,2B7JB21Y71K5,2,B,7,J,B,2,1,Y,7,1,K,5,T,DODG,25B,CG,1,17,,2,0,1272,RMV,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,11,11,2,8,12,0,0,0,0
6,60039,2,1,0,7,1,8,11,14,0,2,0,92,6,84,881,84881,66,1995,1HSSDAAN0SH6,1,H,S,S,D,A,A,N,0,S,H,6,T,INTL,490,CC,95,17,,7,2540,1280,40S,D,,1,6,223006,06223006,3,6,6,1,0,0,0,0,0,0,0,0,6,6,6,2,12,0,0,0,0
6,60059,2,1,0,18,1,22,20,14,0,2,0,6,6,37,32,37032,4,2003,JHMCM56613C0,J,H,M,C,M,5,6,6,1,3,C,0,P,HOND,UEX,4D,3,17,3109,,0,1079,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,7,4,8,12,0,0,0,0
6,60059,3,1,0,18,1,22,20,14,0,2,0,6,6,20,441,20441,20,2002,1GNDM19X32B1,1,G,N,D,M,1,9,X,3,2,B,1,T,CHEV,AST,ES,2,17,,1,0,1112,AST,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,7,4,8,12,0,0,0,0
6,60087,2,1,0,24,1,23,55,14,0,2,0,6,6,49,32,49032,4,1993,JT2AE00EXP00,J,T,2,A,E,0,0,E,X,P,0,0,P,TOYT,CLF,4D,93,17,2513,,0,957,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,61,61,6,2,12,0,0,0,0
6,60119,2,1,0,31,1,21,23,33,0,2,0,6,6,49,482,49482,31,2007,5TBEV541X7S4,5,T,B,E,V,5,4,1,X,7,S,4,T,TOYT,CRW,CW,7,17,,2,0,1457,TUN,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,6,2,12,0,0,0,0
6,60121,2,1,0,8,1,22,13,1,0,2,0,6,6,23,431,23431,16,2002,3GKEC16T62G2,3,G,K,E,C,1,6,T,6,2,G,2,T,GMC,CX1,4W,2,17,,2,0,1300,YUK,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,3,3,4,4,12,0,0,0,0
6,60132,3,2,0,4,2,10,0,12,6,2,0,6,6,13,421,13421,15,2004,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,U,,,,9,17,,,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,9,9,12,0,0,0,0
6,60140,2,1,0,4,2,21,48,8,0,3,0,6,6,12,481,12481,31,2003,1FTRW08LX3KB,1,F,T,R,W,0,8,L,X,3,K,B,T,FORD,F1S,CW,3,17,,2,0,1388,COF,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,62,62,6,9,12,0,0,0,0
6,60140,3,1,0,4,2,21,48,8,0,3,0,6,6,21,18,21018,4,1987,1G3NF51U2HM2,1,G,3,N,F,5,1,U,2,H,M,2,P,OLDS,CAL,4D,87,17,2481,,0,1034,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,11,11,4,9,14,0,0,0,0
6,60140,4,1,0,4,2,21,48,8,0,3,0,6,6,23,471,23471,30,1997,1GTCS14X5V85,1,G,T,C,S,1,4,X,5,V,8,5,T,GMC,SON,PK,97,17,,1,1179,1083,SON,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,8,8,4,9,14,0,0,0,0
6,60170,2,1,0,23,1,14,30,14,0,2,0,6,6,23,422,23422,15,2005,1GKEC16Z15J1,1,G,K,E,C,1,6,Z,1,5,J,1,T,GMC,CX1,4W,5,17,,2,0,1300,YUK,F,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,4,3,14,0,0,0,0
6,60186,3,2,0,9,2,0,26,12,1,2,0,6,6,37,31,37031,2,2008,2HGFG12658H5,2,H,G,F,G,1,2,6,5,8,H,5,P,HOND,UCL,CP,8,17,2718,,0,1043,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,7,2,4,12,0,0,0,0
6,60204,2,1,0,12,2,21,25,33,0,2,0,6,6,7,41,7041,4,2003,2B3HD46R03H5,2,B,3,H,D,4,6,R,0,3,H,5,P,DODG,ISE,4D,3,17,3340,,0,1130,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,6,2,12,0,0,0,0
6,60234,2,1,0,14,2,4,31,14,0,2,0,6,6,12,401,12401,14,2001,1FMZU67E51UB,1,F,M,Z,U,6,7,E,5,1,U,B,P,FORD,EPR,UT,1,17,4117,,0,1259,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,63,63,2,4,12,0,0,0,0
6,60234,3,1,0,14,2,4,31,14,0,2,0,92,6,20,461,20461,21,1991,2GBHG31K2M41,2,G,B,H,G,3,1,K,2,M,4,1,T,CHEV,CUT,MY,91,17,,2,1460,1250,CTV,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,12,6,4,12,0,0,0,0
6,60234,4,1,0,14,2,4,31,14,0,2,0,92,6,49,40,49040,4,1993,JT2VK12E9P01,J,T,2,V,K,1,2,E,9,P,0,1,P,TOYT,CLE,4D,93,17,3053,,0,1031,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,61,61,2,4,54,0,0,0,0
6,60234,5,1,0,14,2,4,31,14,0,2,0,6,6,20,461,20461,21,1992,2GBEG25K0N41,2,G,B,E,G,2,5,K,0,N,4,1,T,CHEV,SV2,IC,92,17,,2,1250,1100,S/V,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,7,6,4,12,0,0,0,0
6,60234,6,1,0,14,2,4,31,14,0,2,0,6,6,23,421,23421,15,1998,1GKEC13R1WJ7,1,G,K,E,C,1,3,R,1,W,J,7,T,GMC,YUK,4W,98,17,,2,0,1175,YUK,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,81,81,2,4,54,0,0,0,0
6,60239,2,1,0,19,2,2,16,8,0,2,0,6,6,63,31,63031,4,2000,KNAFB1212Y58,K,N,A,F,B,1,2,1,2,Y,5,8,P,KIA,SPL,4D,0,17,2478,,0,1008,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,8,8,0,3,12,0,0,0,0
6,60239,3,1,0,19,2,2,16,8,0,2,0,6,6,49,50,49050,3,2006,JTKDE1773601,J,T,K,D,E,1,7,7,3,6,0,1,P,TOYT,SXC,LB,6,17,2905,,0,1063,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,0,4,14,0,0,0,0
6,60239,4,1,0,19,2,2,16,8,0,2,0,6,6,12,481,12481,31,1997,1FTDF1722VKA,1,F,T,D,F,1,7,2,2,V,K,A,T,FORD,F15,PK,97,17,,1,1390,1200,COF,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,7,0,4,12,0,0,0,0
6,60257,2,1,0,2,3,11,35,14,0,2,0,6,6,85,881,85881,66,2005,1XKADB9X75J0,1,X,K,A,D,B,9,X,7,5,J,0,T,KW,T60,DS,5,17,,8,2600,1600,CON,D,,1,57,268727,57268727,3,6,1,1,0,0,0,0,0,0,0,0,6,6,2,1,12,0,0,0,0
